COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO,SAC_CD
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0077/23-24,null,null,LP,77,IT0077/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1002/23-24 dated 08-NOV-23,INR,860.96,12.65,10891.144,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0079/23-24,null,null,LP,79,IT0079/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1011/23-24 dated 09-NOV-23,INR,892.57,12.65,11291.0105,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0080/23-24,null,null,LP,80,IT0080/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1012/23-24 dated 09-NOV-23,INR,890.3,12.65,11262.295,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0081/23-24,null,null,LP,81,IT0081/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1014/23-24 dated 10-NOV-23,INR,868.88,12.65,10991.332,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0082/23-24,null,null,LP,82,IT0082/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1016/23-24 dated 10-NOV-23,INR,893.77,12.65,11306.1905,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0057/23-24,null,null,LP,57,IT0057/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0916/23-24 dated 25-OCT-23,INR,776.38,12.65,9821.207,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0058/23-24,null,null,LP,58,IT0058/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0918/23-24 dated 25-OCT-23,INR,887.14,12.65,11222.321,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0059/23-24,null,null,LP,59,IT0059/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0920/23-24 dated 25-OCT-23,INR,862.26,12.65,10907.589,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0060/23-24,null,null,LP,60,IT0060/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0923/23-24 dated 26-OCT-23,INR,783.25,12.65,9908.1125,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0061/23-24,null,null,LP,61,IT0061/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0925/23-24 dated 26-OCT-23,INR,891.32,12.65,11275.198,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0062/23-24,null,null,LP,62,IT0062/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0926/23-24 dated 26-OCT-23,INR,892.88,12.65,11294.932,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0064/23-24,null,null,LP,64,IT0064/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0930/23-24 dated 27-OCT-23,INR,847.03,12.65,10714.9295,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0065/23-24,null,null,LP,65,IT0065/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0932/23-24 dated 27-OCT-23,INR,894.17,12.65,11311.2505,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0066/23-24,null,null,LP,66,IT0066/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0934/23-24 dated 28-OCT-23,INR,781.45,12.65,9885.3425,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0067/23-24,null,null,LP,67,IT0067/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0935/23-24 dated 28-OCT-23,INR,863.93,12.65,10928.7145,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0068/23-24,null,null,LP,68,IT0068/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0937/23-24 dated 28-OCT-23,INR,889,12.65,11245.85,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0069/23-24,null,null,LP,69,IT0069/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0938/23-24 dated 28-OCT-23,INR,902.49,12.65,11416.4985,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0070/23-24,null,null,LP,70,IT0070/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0940/23-24 dated 29-OCT-23,INR,889.02,12.65,11246.103,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0071/23-24,null,null,LP,71,IT0071/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0941/23-24 dated 29-OCT-23,INR,889.53,12.65,11252.5545,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0072/23-24,null,null,LP,72,IT0072/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0942/23-24 dated 29-OCT-23,INR,794.2,12.65,10046.63,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0073/23-24,null,null,LP,73,IT0073/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0944/23-24 dated 30-OCT-23,INR,851.86,12.65,10776.029,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0074/23-24,null,null,LP,74,IT0074/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0947/23-24 dated 30-OCT-23,INR,899,12.65,11372.35,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0075/23-24,null,null,LP,75,IT0075/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0950/23-24 dated 31-OCT-23,INR,887.6,12.65,11228.14,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0076/23-24,null,null,LP,76,IT0076/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0952/23-24 dated 31-OCT-23,INR,882.95,12.65,11169.3175,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0002/23-24,null,null,LP,2,IT0002/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0625/23-24 dated 07-SEP-23,INR,888.98,12.65,11245.597,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0003/23-24,null,null,LP,3,IT0003/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0628/23-24 dated 07-SEP-23,INR,894.69,12.65,11317.8285,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0004/23-24,null,null,LP,4,IT0004/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0629/23-24 dated 07-SEP-23,INR,783.28,12.65,9908.492,201,13/11/2023 00:00:00,0,null
