COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,INVOICE_ID_SEQ,DR_CR_REF_NO,DR_CR_NO,CRITERIA,DR_CR_FLAG,DR_CR_SEQ,ITEM_DESCRIPTION,LINE_SEQ,ITEM_CD,ITEM_EFF_DT,ITEM_AMT,ITEM_DIFF_AMT,ITEM_DIFF_VALUE
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0044/24-25,44,44,DMH016/24-25,DMH016/24-25,1,DR,null,null,1,1,null,83.745,83.81,-0.0650
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0058/24-25,58,58,CMH014/24-25,CMH014/24-25,1,CR,null,null,1,1,null,83.945,83.73,0.2150
GGL,2020-2021,01,1,0,1,0,S,1,1,S0367/20-21,367,367,D008/21-22,D008/21-22,10,DR,null,null,1,10,null,null,null,null
GGL,2021-2022,04,1,0,5,0,S,1,1,S0146/21-22,146,146,C005/21-22,C005/21-22,3,CR,null,null,1,3,null,null,null,null
GGL,2022-2023,07,1,0,8,0,S,1,2,S0079/22-23,79,79,D013/22-23,D013/22-23,10,DR,null,Monthly Ship or pay,1,10,null,null,null,null
GGL,2022-2023,04,1,0,5,0,S,1,1,S0268/22-23,268,268,D028/22-23,D028/22-23,10,DR,null,Transportation Charges,1,10,null,null,null,null
GGL,2023-2024,04,1,0,5,0,S,1,1,S0127/23-24,127,127,D007/23-24,D007/23-24,10,DR,null,Natural Gas (Delivered) for gas day 14-Sep-23. Inv,1,10,null,null,null,null
GGL,2023-2024,04,1,0,5,0,S,1,1,S0004/23-24,4,4,C005/23-24,C005/23-24,1,CR,null,null,1,1,null,82.025,81.825,0.2000
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0017/24-25,17,17,CMH006/24-25,CMH006/24-25,1,CR,null,null,1,1,null,83.515,83.34,0.1750
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0032/24-25,32,32,DMH007/24-25,DMH007/24-25,1,DR,null,null,1,1,null,83.425,83.49,-0.0650
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0037/24-25,37,37,DMH012/24-25,DMH012/24-25,1,DR,null,null,1,1,null,83.565,83.66,-0.0950
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0050/24-25,50,50,CMH010/24-25,CMH010/24-25,1,CR,null,null,1,1,null,83.935,83.84,0.0950
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0061/24-25,61,61,DMH022/24-25,DMH022/24-25,1,DR,null,null,1,1,null,83.725,83.98,-0.2550
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0055/24-25,55,55,DMH020/24-25,DMH020/24-25,1,DR,null,null,1,1,null,83.925,83.98,-0.0550
GGL,2023-2024,08,1,0,9,0,S,2,3,SMH0203/23-24,203,203,DMH002/24-25,DMH002/24-25,1,DR,null,null,1,1,null,83.375,83.4,-0.0250
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0005/24-25,5,5,DMH003/24-25,DMH003/24-25,1,DR,null,null,1,1,null,83.465,83.6,-0.1350
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0010/24-25,10,10,CMH002/24-25,CMH002/24-25,1,CR,null,null,1,1,null,83.495,83.42,0.0750
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0020/24-25,20,20,DMH006/24-25,DMH006/24-25,1,DR,null,null,1,1,null,83.275,83.48,-0.2050
GGL,2023-2024,08,1,0,9,0,S,2,3,SMH0192/23-24,192,192,DMH037/23-24,DMH037/23-24,2,DR,null,null,1,2,null,9.96,10.1592,-0.1992
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0024/24-25,24,24,CMH007/24-25,CMH007/24-25,1,CR,null,null,1,1,null,83.575,83.41,0.1650
GGL,2019-2020,01,1,0,1,0,S,1,1,0100/19-20,100,100,D011/19-20,D011/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
GGL,2024-2025,X-39-1-0,0,2,1,0,X,1,1,S0316/24-25,316,316,C011/24-25,C011/24-25,10,CR,null,DIFF-PRICE,1,10,null,null,null,null
GGL,2024-2025,SN10,1,0,11,0,S,2,3,SMH0113/24-25,113,113,2DRMH0003/25-26,2DRMH0003/25-26,1,DR,null,null,1,1,null,85.525,85.73,-0.2050
GGL,2024-2025,SN10,1,0,11,0,S,2,3,SMH0109/24-25,109,109,CMH024/24-25,CMH024/24-25,1,CR,null,null,1,1,null,86.975,86.68,0.2950
IFFCO,2023-2024,L-22-1-0,22,0,1,0,L,1,1,S0009/23-24,9,9,C008/23-24,C008/23-24,1,CR,null,null,1,1,null,82.45,82.25,0.2000
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0137/21-22,137,137,D020/21-22,D020/21-22,10,DR,null,Imbalance Charges,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0159/21-22,159,159,D024/21-22,D024/21-22,10,DR,null, Imbalance / Overrun Charges,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0209/21-22,209,209,D032/21-22,D032/21-22,10,DR,null, Imbalance / Overrun Charges / Ship or Pay,1,10,null,null,null,null
