COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,INVOICE_TYPE,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
AMNS,2024-2025,85,L00085/24-25,DI,D,INVOICE-E-2024-2025-85-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,04/02/2025 00:00:00,null,null,null
AMNS,2024-2025,88,L00088/24-25,DI,O,INVOICE-E-2024-2025-88-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,17/02/2025 00:00:00,null,null,null
AMNS,2024-2025,88,L00088/24-25,DI,D,INVOICE-E-2024-2025-88-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,17/02/2025 00:00:00,null,null,null
AMNS,2024-2025,89,L00089/24-25,DI,O,INVOICE-E-2024-2025-89-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,17/02/2025 00:00:00,null,null,null
AMNS,2024-2025,89,L00089/24-25,DI,D,INVOICE-E-2024-2025-89-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,95,L00095/24-25,DI,O,INVOICE-E-2024-2025-95-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,95,L00095/24-25,DI,D,INVOICE-E-2024-2025-95-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,96,L00096/24-25,DI,O,INVOICE-E-2024-2025-96-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,96,L00096/24-25,DI,D,INVOICE-E-2024-2025-96-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,97,L00097/24-25,DI,O,INVOICE-E-2024-2025-97-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,97,L00097/24-25,DI,D,INVOICE-E-2024-2025-97-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2025 00:00:00,null,null,null
AMNS,2024-2025,98,L00098/24-25,DI,O,INVOICE-E-2024-2025-98-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,04/03/2025 00:00:00,null,null,null
AMNS,2024-2025,98,L00098/24-25,DI,D,INVOICE-E-2024-2025-98-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,04/03/2025 00:00:00,null,null,null
AMNS,2024-2025,102,L00102/24-25,DI,D,INVOICE-E-2024-2025-102-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2025 00:00:00,null,null,null
AMNS,2024-2025,102,L00102/24-25,DI,O,INVOICE-E-2024-2025-102-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2025 00:00:00,null,null,null
AMNS,2021-2022,144,L00144/21-22,LP,O,INVOICE-16082021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-144,49,16/08/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2021 00:00:00,null,null,null
AMNS,2021-2022,144,L00144/21-22,LP,D,INVOICE-16082021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-144,49,16/08/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2021 00:00:00,null,null,null
AMNS,2021-2022,144,L00144/21-22,LP,T,INVOICE-16082021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-144,49,16/08/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2021 00:00:00,null,null,null
AMNS,2020-2021,331,L00331/20-21,LP,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-331,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2020-2021,331,L00331/20-21,LP,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-331,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2020-2021,332,L00332/20-21,LP,O,INVOICE-08102020-AMNS-AMNS-M-332,23,10/10/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/09/2023 00:00:00,null,null,null
AMNS,2020-2021,332,L00332/20-21,LP,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-332,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
