COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
AMNS,2021-2022,28,I0028/21-22,O,LATEPAY_INVOICE-28012022-AMNS-AMNS-M-I-28-O.pdf,23,28/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/01/2022 00:00:00,null,null,null,Y,null,28/01/2022 00:00:00
AMNS,2021-2022,28,I0028/21-22,D,LATEPAY_INVOICE-28012022-AMNS-AMNS-M-I-28-D.pdf,23,28/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/01/2022 00:00:00,null,null,null,Y,null,28/01/2022 00:00:00
AMNS,2021-2022,28,I0028/21-22,T,LATEPAY_INVOICE-28012022-AMNS-AMNS-M-I-28-T.pdf,23,28/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/01/2022 00:00:00,null,null,null,Y,null,28/01/2022 00:00:00
AMNS,2022-2023,47,L00047/22-23,O,INVOICE-30062022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-47-O.pdf,130,01/07/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,47,L00047/22-23,D,INVOICE-30062022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-47-D.pdf,130,01/07/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,47,L00047/22-23,T,INVOICE-30062022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-47-T.pdf,130,01/07/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,69,L00069/22-23,O,INVOICE-31072022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-69-O.pdf,130,01/08/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,69,L00069/22-23,D,INVOICE-31072022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-69-D.pdf,130,01/08/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,69,L00069/22-23,T,INVOICE-31072022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-69-T.pdf,130,01/08/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,73,L00073/22-23,D,LATEPAY_INVOICE-08082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-73-D.pdf,130,08/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/08/2022 00:00:00,null,null,null,Y,null,08/08/2022 00:00:00
AMNS,2022-2023,73,L00073/22-23,T,LATEPAY_INVOICE-08082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-73-T.pdf,130,08/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/08/2022 00:00:00,null,null,null,Y,null,08/08/2022 00:00:00
AMNS,2022-2023,73,L00073/22-23,O,LATEPAY_INVOICE-08082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-73-O.pdf,49,08/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/08/2022 00:00:00,null,null,null,null,null,null
AMNS,2022-2023,74,L00074/22-23,D,LATEPAY_INVOICE-08082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-74-D.pdf,130,08/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/08/2022 00:00:00,null,null,null,Y,null,08/08/2022 00:00:00
AMNS,2022-2023,74,L00074/22-23,T,LATEPAY_INVOICE-08082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-74-T.pdf,130,08/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/08/2022 00:00:00,null,null,null,Y,null,08/08/2022 00:00:00
AMNS,2022-2023,74,L00074/22-23,O,LATEPAY_INVOICE-08082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-74-O.pdf,49,08/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/08/2022 00:00:00,null,null,null,null,null,null
AMNS,2022-2023,84,L00084/22-23,O,LATEPAY_INVOICE-22082022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-84-O.pdf,23,22/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,22/08/2022 00:00:00,null,null,null,Y,null,22/08/2022 00:00:00
