COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,SVC_INVOICE_SEQ,SVC_INVOICE_NO,INVOICE_SEQ,INVOICE_NO,TRUCK_TRANS_CD,TRUCK_CD,MAPPING_ID,PERIOD_START_DT,PERIOD_END_DT,QTY_MMBTU,DISTANCE,ENT_BY,ENT_DT
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0601/22-23,T0601/22-23,null,null,null,null,null,827.90,null,6,16/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0615/22-23,T0615/22-23,null,null,null,null,null,843.33,null,6,16/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0618/22-23,T0618/22-23,null,null,null,null,null,840.48,null,6,16/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0623/22-23,T0623/22-23,null,null,null,null,null,835.45,null,6,16/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0629/22-23,T0629/22-23,null,null,null,null,null,833.79,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0633/22-23,T0633/22-23,null,null,null,null,null,840.19,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0638/22-23,T0638/22-23,null,null,null,null,null,832.62,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0646/22-23,T0646/22-23,null,null,null,null,null,845.13,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0653/22-23,T0653/22-23,null,null,null,null,null,833.22,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0660/22-23,T0660/22-23,null,null,null,null,null,889.38,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0665/22-23,T0665/22-23,null,null,null,null,null,836.96,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0670/22-23,T0670/22-23,null,null,null,null,null,839.75,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,54,TMS00054/22-23,T0674/22-23,T0674/22-23,null,null,null,null,null,726.93,null,36,01/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,58,TMS00058/22-23,T0679/22-23,T0679/22-23,null,null,null,null,null,833.60,null,36,16/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,58,TMS00058/22-23,T0684/22-23,T0684/22-23,null,null,null,null,null,844.46,null,36,16/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,58,TMS00058/22-23,T0689/22-23,T0689/22-23,null,null,null,null,null,836.83,null,36,16/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,58,TMS00058/22-23,T0695/22-23,T0695/22-23,null,null,null,null,null,828.40,null,36,16/12/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,58,TMS00058/22-23,T0700/22-23,T0700/22-23,null,null,null,null,null,831.12,null,36,16/12/2022 00:00:00
