COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
2,24,CT007/23-24,2023-2024,T,CREDIT-INVOICE-18042023-EXXARO-EXXARO-TALOD-S-58-2.pdf,133,18/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT011/23-24,2023-2024,O,CREDIT-INVOICE-19042023-EXXARO-EXXARO-TALOD-S-62-C.pdf,83,19/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT011/23-24,2023-2024,D,CREDIT-INVOICE-19042023-EXXARO-EXXARO-TALOD-S-62-1.pdf,83,19/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT011/23-24,2023-2024,T,CREDIT-INVOICE-19042023-EXXARO-EXXARO-TALOD-S-62-2.pdf,83,19/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT002/21-22,2021-2022,D,CREDIT-INVOICE-24102021-KAJARIA-KAJARIA-MALUTANA-S-338-1.pdf,72,24/10/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/10/2021 00:00:00,null,null,null,null,null,null
2,24,CT002/21-22,2021-2022,T,CREDIT-INVOICE-24102021-KAJARIA-KAJARIA-MALUTANA-S-338-2.pdf,72,24/10/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/10/2021 00:00:00,null,null,null,null,null,null
2,24,CT002/21-22,2021-2022,O,CREDIT-INVOICE-24102021-KAJARIA-KAJARIA-MALUTANA-S-338-C.pdf,72,24/10/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/10/2021 00:00:00,null,null,null,null,null,null
2,24,CT003/21-22,2021-2022,O,CREDIT-INVOICE-01122021-KAJARIA-KAJARIA-MALUTANA-S-421-C.pdf,74,01/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/12/2021 00:00:00,null,null,null,Y,null,02/12/2021 00:00:00
2,24,CT003/21-22,2021-2022,D,CREDIT-INVOICE-01122021-KAJARIA-KAJARIA-MALUTANA-S-421-1.pdf,74,01/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/12/2021 00:00:00,null,null,null,Y,null,02/12/2021 00:00:00
2,24,CT003/21-22,2021-2022,T,CREDIT-INVOICE-01122021-KAJARIA-KAJARIA-MALUTANA-S-421-2.pdf,74,01/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/12/2021 00:00:00,null,null,null,Y,null,02/12/2021 00:00:00
