COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY,SUPPLIER_CD
2,00039/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-39-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00039/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-39-2-D.pdf,null,09/02/2018,null,null,null,null,null,null,null,null,1
2,00039/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-39-2-O.pdf,null,09/02/2018,null,null,null,null,null,null,null,null,1
2,00039/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-39-2-D.pdf,null,04/09/2018,null,null,null,null,null,null,null,null,1
2,00039/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-39-2-O.pdf,null,04/09/2018,null,null,null,null,null,null,null,null,1
2,00039/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-39-2-D.pdf,null,09/08/2019,null,null,null,null,null,null,null,null,1
2,00039/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-39-2-O.pdf,null,09/08/2019,null,null,null,null,null,null,null,null,1
2,RCP0004/2017-18,COSTR,2017-2018,D,INVOICE-X-2017-2018-4-2-D.pdf,null,01/09/2017,null,null,null,null,null,null,null,null,1
2,RCP0004/2017-18,COSTR,2017-2018,O,INVOICE-X-2017-2018-4-2-O.pdf,null,01/09/2017,null,null,null,null,null,null,null,null,1
2,RCL0004/2017-18,COSTR,2017-2018,D,INVOICE-X-2017-2018-4-1-D.pdf,null,04/08/2017,null,null,null,null,null,null,null,null,2
2,RCL0004/2017-18,COSTR,2017-2018,O,INVOICE-X-2017-2018-4-1-O.pdf,null,04/08/2017,null,null,null,null,null,null,null,null,2
2,RCL0004/2018-19,COSTR,2018-2019,D,INVOICE-X-2018-2019-4-1-D.pdf,null,18/05/2018,null,null,null,null,null,null,null,null,2
2,RCL0004/2018-19,COSTR,2018-2019,O,INVOICE-X-2018-2019-4-1-O.pdf,null,18/05/2018,null,null,null,null,null,null,null,null,2
2,RCP0004/2018-19,COSTR,2018-2019,D,INVOICE-X-2018-2019-4-2-D.pdf,null,11/06/2018,null,null,null,null,null,null,null,null,1
2,RCP0004/2018-19,COSTR,2018-2019,O,INVOICE-X-2018-2019-4-2-O.pdf,null,11/06/2018,null,null,null,null,null,null,null,null,1
2,RCL0004/2019-20,COSTR,2019-2020,D,INVOICE-X-2019-2020-4-1-D.pdf,null,29/05/2019,null,null,null,null,null,null,null,null,2
2,RCL0004/2019-20,COSTR,2019-2020,O,INVOICE-X-2019-2020-4-1-O.pdf,null,29/05/2019,null,null,null,null,null,null,null,null,2
2,00040/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-40-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00040/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-40-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00040/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-40-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00040/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-40-2-D.pdf,null,15/02/2018,null,null,null,null,null,null,null,null,1
2,00040/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-40-2-O.pdf,null,15/02/2018,null,null,null,null,null,null,null,null,1
