

<<ROLLBACK_START>>,<<FMS_TRADER_CN_MST>>,,,,,,, 	(02-APR-2025 19:02:48)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,256,M,1,0,N,0,1,19007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19011, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19012, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19013, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19014, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19015, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19016, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19017, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19018, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19020, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19019, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19021, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19022, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19023, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19024, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19025, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19026, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19027, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,19028, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19029, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,19030, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19031, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19032, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20011, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20012, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20013, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,20014, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,3,20015, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,4,20016, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20017, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20018, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20019, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20020, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20021, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20022, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,20025, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,20026, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,3,20027, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,21009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21047, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,21048, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,3,21049, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21050, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,21053, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,1,20004, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,1,20009, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,1,20023, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,1,20024, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,1,21005, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,2,21006, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23007, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23010, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23011, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23015, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23024, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23025, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23028, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,2,23035, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23034, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,23040, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,24002, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,2,24003, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,3,24004, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,24006, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,24010, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,24011, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,1,24015, 	(02-APR-2025 19:02:49)
