

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(01-MAR-2025 16:55:35)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,7,C,4,03/12/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,7,C,5,20/04/2022 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,8,C,1,22/07/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,8,C,2,22/07/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,8,C,1,22/07/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,8,C,2,22/07/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,242,C,1,16/04/2008 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:38)
2,242,C,1,16/04/2008 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:38)
2,249,C,1,28/02/2008 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:38)
2,249,C,2,28/02/2008 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:38)
2,249,C,1,28/02/2008 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:38)
2,249,C,2,28/02/2008 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:38)
2,9,C,1,01/04/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,9,C,2,01/04/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,9,C,3,01/04/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,9,C,4,20/06/2013 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,9,C,1,01/04/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,9,C,2,01/04/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,9,C,3,01/04/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,9,C,4,20/06/2013 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,10,C,1,25/07/2012 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:38)
2,10,C,1,25/07/2012 00:00:00,R,DLNG, 	(01-MAR-2025 16:55:38)
2,11,C,1,01/09/2023 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,11,C,2,01/09/2023 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,11,C,3,01/09/2023 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
