

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,3,1,3,77,0,S,1,725088, 	(01-MAY-2025 13:14:01)
2,3,1,3,71,1,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,86,0,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,88,1,S,1,725092, 	(01-MAY-2025 13:14:01)
2,3,1,3,36,0,S,1,725046, 	(01-MAY-2025 13:14:01)
2,3,1,3,39,0,S,1,725051, 	(01-MAY-2025 13:14:01)
2,3,1,3,42,0,S,1,725198, 	(01-MAY-2025 13:14:01)
2,3,1,3,52,0,S,1,725067, 	(01-MAY-2025 13:14:01)
2,3,1,3,53,0,S,1,725068, 	(01-MAY-2025 13:14:01)
2,3,1,3,63,0,S,1,725075, 	(01-MAY-2025 13:14:01)
2,3,1,3,65,0,S,1,725076, 	(01-MAY-2025 13:14:01)
2,3,1,3,68,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,2,0,2,0,S,1,725006, 	(01-MAY-2025 13:14:01)
2,3,1,3,2,0,S,1,725011, 	(01-MAY-2025 13:14:01)
2,3,1,3,91,0,S,1,725097, 	(01-MAY-2025 13:14:01)
2,3,1,3,99,0,S,1,725104, 	(01-MAY-2025 13:14:01)
2,3,1,3,100,0,S,1,725108, 	(01-MAY-2025 13:14:01)
2,3,1,3,56,0,S,1,725066, 	(01-MAY-2025 13:14:01)
2,3,1,3,57,0,S,1,725074, 	(01-MAY-2025 13:14:01)
2,3,1,3,58,0,S,1,725071, 	(01-MAY-2025 13:14:01)
2,3,1,3,19,0,S,1,725032, 	(01-MAY-2025 13:14:01)
2,3,1,3,19,0,S,1,725034, 	(01-MAY-2025 13:14:01)
2,3,1,3,104,0,S,1,725116, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,725148, 	(01-MAY-2025 13:14:01)
2,3,1,3,119,0,S,1,825031, 	(01-MAY-2025 13:14:01)
2,3,1,3,103,0,S,1,725114, 	(01-MAY-2025 13:14:01)
2,3,1,3,102,3,S,1,725111, 	(01-MAY-2025 13:14:01)
2,3,1,3,21,0,S,1,725035, 	(01-MAY-2025 13:14:01)
2,3,1,3,22,0,S,1,725034, 	(01-MAY-2025 13:14:01)
2,3,1,3,23,0,S,1,725031, 	(01-MAY-2025 13:14:01)
2,3,1,3,23,0,S,1,725032, 	(01-MAY-2025 13:14:01)
2,3,1,3,30,0,S,1,725040, 	(01-MAY-2025 13:14:01)
2,3,1,3,32,0,S,1,725042, 	(01-MAY-2025 13:14:01)
2,3,1,3,33,0,S,1,725045, 	(01-MAY-2025 13:14:01)
2,3,1,3,69,1,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,82,1,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,88,0,S,1,725092, 	(01-MAY-2025 13:14:01)
2,3,1,3,37,0,S,1,725192, 	(01-MAY-2025 13:14:01)
2,3,1,3,41,0,S,1,725053, 	(01-MAY-2025 13:14:01)
2,3,1,3,43,0,S,1,725057, 	(01-MAY-2025 13:14:01)
2,3,1,3,59,0,S,1,725070, 	(01-MAY-2025 13:14:01)
2,3,1,3,62,0,S,1,725204, 	(01-MAY-2025 13:14:01)
2,3,1,3,67,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,1,0,S,1,725179, 	(01-MAY-2025 13:14:01)
2,3,1,3,1,0,S,1,725010, 	(01-MAY-2025 13:14:01)
2,3,1,3,8,0,S,1,725017, 	(01-MAY-2025 13:14:01)
2,3,1,3,8,0,S,1,725019, 	(01-MAY-2025 13:14:01)
2,3,1,3,9,0,S,1,725018, 	(01-MAY-2025 13:14:01)
2,3,1,3,9,0,S,1,725020, 	(01-MAY-2025 13:14:01)
2,3,1,3,11,0,S,1,725181, 	(01-MAY-2025 13:14:01)
2,3,1,3,16,0,S,1,725183, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,725146, 	(01-MAY-2025 13:14:01)
2,3,1,3,111,0,S,1,725149, 	(01-MAY-2025 13:14:01)
2,3,1,3,118,0,S,1,825029, 	(01-MAY-2025 13:14:01)
2,3,1,3,67,2,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,78,0,S,1,725211, 	(01-MAY-2025 13:14:01)
2,3,1,3,85,0,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,86,1,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,40,0,S,1,725195, 	(01-MAY-2025 13:14:01)
2,3,1,3,41,0,S,1,725196, 	(01-MAY-2025 13:14:01)
2,3,1,3,44,0,S,1,725057, 	(01-MAY-2025 13:14:01)
2,3,1,3,51,0,S,1,725066, 	(01-MAY-2025 13:14:01)
2,3,1,3,59,0,S,1,725072, 	(01-MAY-2025 13:14:01)
2,3,1,3,72,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,75,0,S,1,725081, 	(01-MAY-2025 13:14:01)
2,3,2,0,2,0,S,1,725007, 	(01-MAY-2025 13:14:01)
