

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(14-APR-2025 13:06:05)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,5,C,17,01/02/2024 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,18,01/02/2024 00:00:00,P5,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,1,01/02/2024 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,R,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P5,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P3,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,3,01/10/2022 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,4,01/11/2023 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,5,01/02/2024 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,6,01/02/2024 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,7,01/02/2024 00:00:00,P3,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,8,01/02/2024 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,9,01/02/2024 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,10,01/10/2022 00:00:00,P5,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,11,01/02/2024 00:00:00,P6,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,12,01/02/2024 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,13,01/02/2024 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,14,01/02/2024 00:00:00,P3,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,15,01/02/2024 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,16,01/02/2024 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,17,01/02/2024 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,18,01/02/2024 00:00:00,P5,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,1,01/01/2022 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,2,05/12/2007 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,3,05/12/2007 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,3,05/12/2007 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,4,01/01/2020 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,4,01/01/2020 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,5,05/12/2007 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,6,01/01/2020 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,7,01/01/2022 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,8,01/01/2022 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,9,05/12/2007 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,10,05/12/2007 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,11,05/12/2007 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,6,C,1,01/01/2022 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,2,05/12/2007 00:00:00,R,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,3,05/12/2007 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,3,05/12/2007 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,4,01/01/2020 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,4,01/01/2020 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,6,C,5,05/12/2007 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
