

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:05)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP>
2,144 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,83 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,229 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,84 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,147 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,230 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,148 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,85 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,236 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,239 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,240 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,241 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,86 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,87 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,243 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,244 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,245 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,246 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,88 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,89 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,247 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,248 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,90 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,91 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,166 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,92 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,250 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,93 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,94 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,252 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,253 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,139 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,95 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,96 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,97 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,258 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,259 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,260 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,261 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,262 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,98 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,142 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,266 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,267 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,99 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,100 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,145 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,101 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,274 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,275 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,102 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,103 , R , 16/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,169 , R , 28/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,104 , R , 30/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,105 , R , 04/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,211 , R , 01/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,162 , R , 05/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,151 , R , 13/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,163 , R , 13/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,173 , R , 18/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,106 , R , 19/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,180 , R , 19/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,107 , R , 27/01/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,190 , R , 09/02/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,176 , R , 10/02/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,110 , R , 08/03/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,188 , R , 14/03/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,202 , R , 03/04/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,186 , R , 13/04/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,277 , R , 18/04/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,167 , R , 20/04/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,165 , R , 27/04/2023 00:00:00, 	(28-FEB-2025 11:35:47)
