EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 153 , Trinity Arrow, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 154 , BW GDF Suez Paris, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 155 , Al Rekayyat, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 156 , Umm Bab, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 157 , UmmAl Amad, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 158 , LNG Enugu, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 159 , Gaslog Salem, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 160 , Al Jasra, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 161 , AL KHAZNAH, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 162 , LNG IMO, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 163 , Arctic Aurora, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 164 , WILPRIDE, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 165 , LNG ONDO, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 166 , Maran Gas Alexandria, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 167 , Maran Gas Troy, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 168 , Maran Gas Agamemnon, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 169 , ASIA ENERGY, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 170 , MARAN GAS MYSTRAS, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 171 , Maran Gas Apollonia, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 172 , Gaslog Gibraltar, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 173 , British Emerald, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 174 , Golar Glacier, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 175 , Grace Cosmos, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 176 , Clean Horizon, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 177 , Gaslog Glasgow, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 178 , Corcovado LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 179 , BW GDF Suez Brussels, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 180 , Neo Energy, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 181 , Ejnan , 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 182 , Granosa, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 183 , Al Thakhira, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 184 , LNG Bayelsa, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 185 , Simaisma, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 186 , LNG Cross River, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 187 , LNG Maran Gas Asclepius, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 188 , Grand Aniva, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 189 , British Merchant, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 190 , Gaselys, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 191 , Galea, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 192 , LNG Finima, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 193 , Excel, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 194 , Dummy Vessel, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 195 , Mithane Shirley Elisabeth, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 196 , Borno, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 197 , Maesk Methane, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 198 , Al Marrouna, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 199 , Al Hamla, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 200 , Al Gattara, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 201 , Fuwairit, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 202 , Al Areesh, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 203 , Al Utouriya, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 204 , LNG Sokoto, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 205 , Maersk Marib, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 206 , Al Ghariya, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 207 , Al Khor, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 208 , Al Zubarah, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 209 , Al Safliya, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 210 , AL BAHIYA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 211 , AL RUWAIS, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 212 , Energy Navigator, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 213 , Arctic Lady, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 214 , AL HUWAILA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 215 , DUHAIL, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 216 , LNG ADAMAWA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 217 , Maersk Arwa, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 218 , AL KHARAITIYAT, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 219 , AL GHARRAFA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 220 , AL Deebel, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 221 , Mesaimeer, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 222 , Al Oraiq, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 223 , Al Khuwair, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 224 , LNG Solaris, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 225 , LNG Khattiya, 	(12-MAR-2025 18:06:22)
