

<<ROLLBACK_START>>,<<FMS_EXCHG_RATE_ENTRY()>>, 	(18-FEB-2025 15:09:14)
 
EXCHG_RATE_CD,EFF_DT,TIMESTAMP
15,27/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,27/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,28/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,28/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,28/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,29/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,29/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,29/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,02/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,02/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,02/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,03/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,03/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,03/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,04/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,04/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,04/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,05/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,05/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,05/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,06/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,06/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,06/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,09/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,09/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,09/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,10/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,10/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,10/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,11/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,11/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,11/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,12/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,12/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,12/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,13/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,13/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,13/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,16/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,16/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,16/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,17/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,17/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,17/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,18/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,18/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,18/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,19/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,19/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,19/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,20/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,20/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,20/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,23/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,23/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,23/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,24/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,24/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,24/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,25/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,25/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,25/07/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,06/04/2010 00:00:00, 	(18-FEB-2025 15:09:15)
13,06/04/2010 00:00:00, 	(18-FEB-2025 15:09:15)
15,05/04/2010 00:00:00, 	(18-FEB-2025 15:09:15)
13,05/04/2010 00:00:00, 	(18-FEB-2025 15:09:15)
1,04/04/2010 00:00:00, 	(18-FEB-2025 15:09:15)
6,06/10/2010 00:00:00, 	(18-FEB-2025 15:09:15)
6,07/10/2010 00:00:00, 	(18-FEB-2025 15:09:15)
6,08/10/2010 00:00:00, 	(18-FEB-2025 15:09:15)
13,03/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,03/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,03/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,04/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,04/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,04/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,05/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,05/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,05/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,09/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,09/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,09/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,10/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,10/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,10/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,11/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,11/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,11/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,12/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,12/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,12/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,13/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,13/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,13/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,16/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
