

<<START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:40)
 
CD,ABBR,ADDRESS_TYPE,EFF_DT,TIMESTAMP
77 , HCGKCEP , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
78 , HEGLPWN , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
79 , HEROMO , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
80 , HICOTED , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
81 , HOECLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
82 , HINZINC , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
144 , HINAGIL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
83 , HINSPEC , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
229 , HOLLFIE , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
84 , HNDMTRS , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
147 , HPOIGAS , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
230 , ICONGLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
148 , INDOLPL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
85 , GASJIND , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
236 , LEXGRAN , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
239 , LOCEPRI , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
240 , LORVTPL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
241 , LUMGLAP , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
86 , MANIKAR , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
87 , MARUTIS , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
243 , MAXGLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
244 , LLPMILL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
245 , LTDMILG , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
246 , MILVITL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
88 , MINDLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
89 , MMPINDL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
247 , MOINLIM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
248 , MOSPLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
90 , NAGAFCL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
91 , NARMADA , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
166 , ESSAREX , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
92 , NEL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
250 , OWECORN , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
93 , PETNETLNG , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
94 , PRISM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
252 , QUCELTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
253 , RAMALIM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
 , RANDSIN , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
139 , SASANPO , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
95 , SENTOVI , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
96 , SHOLAGA , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
97 , SHREELI , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
258 , SIVPLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
259 , SIYARAM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
260 , SIYALIM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
261 , SOLIMIC , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
262 , SPARVIT , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
98 , SRAVANT , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
142 , SGIPLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
266 , TAURLES , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
267 , TTRPKPR , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
99 , THERLIM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
100 , THGBGPL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
145 , THYESTP , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
101 , TORRAUI , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
274 , VARGRAN , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
275 , VENIRAM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
102 , VITOLAPL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
103 , IOCL , R , 16/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
169 , INGASTD , R , 28/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
104 , TASTELI , R , 30/12/2022 00:00:00, 	(28-FEB-2025 11:35:41)
105 , HMEL , R , 04/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
211 , DIL , R , 01/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
162 , BOROREN , R , 05/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
151 , KINGASP , R , 13/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
163 , CEUPGAS , R , 13/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
173 , KNPFCHL , R , 18/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
106 , RATNAGI , R , 19/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
180 , RAJRAIR , R , 19/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
107 , IDOINVA , R , 27/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)
107 , IDOINVA , R , 27/01/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
 , TRILEGL , R , 03/02/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
190 , AGPCGIN , R , 09/02/2023 00:00:00, 	(28-FEB-2025 11:35:41)
176 , NESTLIN , R , 10/02/2023 00:00:00, 	(28-FEB-2025 11:35:41)
110 , SITMEFZ , R , 08/03/2023 00:00:00, 	(28-FEB-2025 11:35:41)
188 , VISHPRI , R , 14/03/2023 00:00:00, 	(28-FEB-2025 11:35:41)
 , NEETMAN , R , 16/03/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
 , SOMANY , R , 16/03/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
202 , BHOGATD , R , 03/04/2023 00:00:00, 	(28-FEB-2025 11:35:41)
186 , VEDALTD , R , 13/04/2023 00:00:00, 	(28-FEB-2025 11:35:41)
277 , VIGASLD , R , 18/04/2023 00:00:00, 	(28-FEB-2025 11:35:41)
167 , GOLDPFG , R , 20/04/2023 00:00:00, 	(28-FEB-2025 11:35:41)
165 , EICLLTD , R , 27/04/2023 00:00:00, 	(28-FEB-2025 11:35:41)
 , CAIRENH  , R , 17/05/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
168 , GSIGLIM , R , 18/05/2023 00:00:00, 	(28-FEB-2025 11:35:41)
168 , GSIGLIM , R , 18/05/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
120 , KSHITIJ , R , 26/05/2023 00:00:00, 	(28-FEB-2025 11:35:41)
122 , GAILGAS , R , 01/06/2023 00:00:00, 	(28-FEB-2025 11:35:41)
182 , SUDSOME , R , 12/06/2023 00:00:00, 	(28-FEB-2025 11:35:41)
174 , KUTCHCL , R , 20/06/2023 00:00:00, 	(28-FEB-2025 11:35:41)
