

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(07-JUN-2025 09:45:17)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,4,53,15/07/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,15,82,25/07/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,67,26/07/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,107,02/08/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,11,56,05/08/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,17,111,07/08/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,64,08/08/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,107,08/08/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,15,112,09/08/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,48,09/08/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,114,10/08/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,3,113,10/08/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,64,16/08/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,64,16/08/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,4,33,18/08/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,28,21/08/2023 00:00:00,7, 	(07-JUN-2025 09:45:18)
2,6,28,21/08/2023 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,4,23,22/08/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,114,22/08/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,104,24/08/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,28,28/08/2023 00:00:00,9, 	(07-JUN-2025 09:45:18)
2,12,32,29/08/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,32,29/08/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,11,29,31/08/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
