

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(12-JUN-2025 09:28:28)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 710011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,F,1,1,T0013490,12.25,2NS0006/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,CP,1,1,T0013471,12.25,2PNCD0006/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,P,1,1,T0013012,7.48,2PNS0007/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,PF,1,1,T0013012,7.48,2PFNS0007/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,F,1,1,T0013095,7.48,2NS0007/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,CP,1,1,T0013012,7.48,2PNCD0007/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,P,1,1,T0013961,16.75,2PNS0008/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,PF,1,1,T0013961,16.75,2PFNS0008/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,F,1,1,T0014067,16.75,2NS0008/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,P,1,1,T0017320,5.65,2PNS0001/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,PF,1,1,T0017320,5.65,2PFNS0001/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,F,1,1,T0017326,5.65,2NS0001/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,CP,1,1,T0017320,5.65,2PNCD0001/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,CF,1,1,T0017326,5.65,2NCD0001/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,P,1,1,T0017398,4.3,2PNS0002/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,PF,1,1,T0017398,4.3,2PFNS0002/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,F,1,1,T0017538,4.3,2NS0002/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,CP,1,1,T0017398,4.3,2PNCD0002/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,P,1,1,T0015816,20.5,2PNS0003/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,PF,1,1,T0015816,20.5,2PFNS0003/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,F,1,1,T0016017,20.5,2NS0003/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,CP,1,1,T0015816,20.5,2PNCD0003/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 2, 2008-2009,CF,1,1,T0016017,20.5,2NCD0002/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,P,1,1,T0015530,19.55,2PNS0004/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,PF,1,1,T0015530,19.55,2PFNS0004/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,F,1,1,T0015556,19.55,2NS0004/08-09,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,CP,1,1,T0015530,19.55,2PNCD0004/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 3, 2008-2009,CF,1,1,T0015556,19.55,2NCD0003/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,P,1,1,T0014843,13.4,2PNS0005/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,PF,1,1,T0014843,13.4,2PFNS0005/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,F,1,1,T0014859,13.4,2NS0005/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,CP,1,1,T0014843,13.4,2PNCD0005/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 4, 2008-2009,CF,1,1,T0014859,13.4,2NCD0004/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,P,1,1,T0015056,13.59,2PNS0006/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,PF,1,1,T0015056,13.59,2PFNS0006/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,F,1,1,T0015098,13.59,2NS0006/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,CP,1,1,T0015056,13.59,2PNCD0006/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 5, 2008-2009,CF,1,1,T0015098,13.59,2NCD0005/08-09,1, 	(12-JUN-2025 09:28:30)
2,270, 1, 0, 710020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,P,1,1,T0015754,20.45,2PNS0007/08-09,1, 	(12-JUN-2025 09:28:30)
