

<<START>>,<<FMS_TRADER_CONT_PLANT_CHRG>>,,,,,, 	(12-SEP-2025 15:04:31)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)

TOTAL DATA IN EXCEL : 21,,,,,,, 	(12-SEP-2025 15:04:31)
 

TOTAL DATA INSERTED : 0,,,,,,, 	(12-SEP-2025 15:04:31)
 

TOTAL SKIPPED DATA 21,,,,,,, 	(12-SEP-2025 15:04:31)
 
<<END>><<FMS_TRADER_CONT_PLANT_CHRG>> 	(12-SEP-2025 15:04:31)
 

<<START>>,<<FMS_TRADER_BILLING_DTL>>,,,,,, 	(12-SEP-2025 15:04:31)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,SN_NO,PLANT_SEQ_NO,TIMESTAMP
2,1:RIL, 0, 0,822009, 0,D,RIL-1-12-D-22012-0,4, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,822005, 0,D,RIL-1-8-D-22008-0,5, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,822006, 0,D,RIL-1-9-D-22009-0,5, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,822007, 0,D,RIL-1-10-D-22010-0,5, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,822008, 0,D,RIL-1-11-D-22011-0,5, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,822009, 0,D,RIL-1-12-D-22012-0,5, 	(12-SEP-2025 15:04:31)
2,15:HPCL, 0, 0,822010, 0,D,HPCL-1-1-D-22021-0,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,822011, 1,I,ONGC-1-1-I-9922001-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,822012, 0,I,ONGC-2-1-I-9922009-0,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,822013, 1,I,ONGC-3-1-I-9922012-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,822014, 1,I,ONGC-4-1-I-9922015-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,822015, 1,I,ONGC-5-1-I-9922019-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,822016, 2,I,ONGC-6-1-I-9922026-2,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,823069, 1,I,ONGC-7-1-I-9923004-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,823070, 1,I,ONGC-8-1-I-9923027-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,824012, 1,I,ONGC-9-1-I-9924002-1,1, 	(12-SEP-2025 15:04:31)
2,51:ONGC, 0, 0,823071, 0,D,ONGC-1-1-D-23018-0,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,822017, 0,T,AMNS-1-1-T-22023-0,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,822018, 2,D,AMNS-2-1-D-22033-2,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,822018, 2,D,AMNS-2-1-D-22033-2,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,20:AMNS, 0, 0,823072, 1,T,AMNS-3-1-T-22036-1,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,823073, 1,T,AMNS-4-1-T-23002-1,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,823073, 1,T,AMNS-4-1-T-23002-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,20:AMNS, 0, 0,823074, 0,T,AMNS-5-1-T-23032-0,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,823076, 1,T,AMNS-7-1-T-23037-1,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,823076, 1,T,AMNS-7-1-T-23037-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,20:AMNS, 0, 0,824013, 1,T,AMNS-8-1-T-24001-1,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,825001, 0,T,AMNS-9-1-T-25002-0,1, 	(12-SEP-2025 15:04:31)
2,20:AMNS, 0, 0,825001, 0,T,AMNS-9-1-T-25002-0,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,14:BPCL, 0, 0,822019, 0,I,BPCL-1-1-I-9922002-0,1, 	(12-SEP-2025 15:04:31)
