

<<START>>,<<FMS_GTA_SG_INV_MST>>,, 	(01-SEP-2025 14:11:50)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANS_BU_UNIT, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_TYPE, INVOICE_SEQ, INV_NO ,TIMESTAMP,
2,4,1,0,57,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,83,UPG2A24109001896, 	(01-SEP-2025 14:11:51)
2,4,1,0,128,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,39,UPG2A23109007668, 	(01-SEP-2025 14:11:51)
2,4,1,0,128,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,40,UPG2A23109007669, 	(01-SEP-2025 14:11:51)
2,4,1,0,123,0,C,1,1,2,16/10/2023 00:00:00,31/10/2023 00:00:00,TC,41,UPG2A23109009611, 	(01-SEP-2025 14:11:51)
2,4,1,0,123,0,C,1,1,2,16/10/2023 00:00:00,31/10/2023 00:00:00,TC,42,UPG2A23109010075, 	(01-SEP-2025 14:11:51)
2,4,1,0,115,0,C,1,1,1,01/11/2023 00:00:00,15/11/2023 00:00:00,TC,43,UPG2A23109010571, 	(01-SEP-2025 14:11:51)
2,4,1,0,115,0,C,1,1,2,16/11/2023 00:00:00,30/11/2023 00:00:00,TC,44,UPG2A23109011548, 	(01-SEP-2025 14:11:51)
2,4,1,0,130,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,45,UPG2A23109007687, 	(01-SEP-2025 14:11:51)
2,4,1,0,130,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,46,UPG2A23109008130, 	(01-SEP-2025 14:11:51)
2,4,1,0,109,0,C,1,1,2,16/12/2023 00:00:00,31/12/2023 00:00:00,TC,47,UPG2A23109012527, 	(01-SEP-2025 14:11:51)
