

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(09-APR-2025 19:57:58)
 
CD,ABBR,EFF_DT,TIMESTAMP
214 , DURZGRA,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
216 , ERACLTD,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
219 , EURILTD,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
221 , FIORGPL,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
68 , GAMALTD,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
69 , GFLLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
70 , GMRLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
71 , GOCOPRL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
111 , GLDIDLI,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
72 , GJALCHEM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
73 , GUJASZR,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
74 , GUJAGAS,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
75 , JOHNTBK,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
76 , HARYCIT,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
77 , HCGKCEP,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
78 , HEGLPWN,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
79 , HEROMO,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
80 , HICOTED,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
81 , HOECLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
82 , HINZINC,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
144 , HINAGIL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
83 , HINSPEC,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
229 , HOLLFIE,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
84 , HNDMTRS,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
147 , HPOIGAS,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
230 , ICONGLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
148 , INDOLPL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
85 , GASJIND,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
236 , LEXGRAN,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
239 , LOCEPRI,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
240 , LORVTPL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
241 , LUMGLAP,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
86 , MANIKAR,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
87 , MARUTIS,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
243 , MAXGLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
244 , LLPMILL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
245 , LTDMILG,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
246 , MILVITL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
88 , MINDLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
89 , MMPINDL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
247 , MOINLIM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
248 , MOSPLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
90 , NAGAFCL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
91 , NARMADA,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
166 , ESSAREX,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
92 , NEL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
250 , OWECORN,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
93 , PETNETLNG,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
94 , PRISM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
252 , QUCELTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
253 , RAMALIM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , RANDSIN,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
139 , SASANPO,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
95 , SENTOVI,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
96 , SHOLAGA,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
97 , SHREELI,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
258 , SIVPLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
259 , SIYARAM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
260 , SIYALIM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
261 , SOLIMIC,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
262 , SPARVIT,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
98 , SRAVANT,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
142 , SGIPLTD,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
266 , TAURLES,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
267 , TTRPKPR,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
99 , THERLIM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
100 , THGBGPL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
145 , THYESTP,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
101 , TORRAUI,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
274 , VARGRAN,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
275 , VENIRAM,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
102 , VITOLAPL,14/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
103 , IOCL,16/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
169 , INGASTD,28/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
104 , TASTELI,30/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
105 , HMEL,04/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
211 , DIL,01/01/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
162 , BOROREN,05/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
151 , KINGASP,13/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
163 , CEUPGAS,13/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
173 , KNPFCHL,18/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
106 , RATNAGI,19/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
180 , RAJRAIR,19/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
107 , IDOINVA,27/01/2023 00:00:00, 	(09-APR-2025 19:57:58)
107 , IDOINVA,27/01/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
107 , IDOINVA,13/06/2023 00:00:00, 	(09-APR-2025 19:57:58)
 , TRILEGL,03/02/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
190 , AGPCGIN,09/02/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
176 , NESTLIN,10/02/2023 00:00:00, 	(09-APR-2025 19:57:58)
110 , SITMEFZ,08/03/2023 00:00:00, 	(09-APR-2025 19:57:58)
188 , VISHPRI,14/03/2023 00:00:00, 	(09-APR-2025 19:57:58)
