

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(28-MAY-2025 11:31:18)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,TIMESTAMP,
2,59,121,03/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,44,03/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,28,82,05/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,5,83,07/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,120,07/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,07/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,128,09/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,10/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,12/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,12/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,14/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,120,14/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,50,17/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,19/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,19/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,120,24/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,24/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,129,25/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,,26/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,120,27/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,120,27/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,87,219,29/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,50,29/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,30/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,120,30/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,215,03/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,04/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,05/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,208,07/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,,11/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,120,11/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,12/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,12/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,12/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,63,168,13/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,208,15/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,117,15/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,215,15/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,117,15/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,120,15/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,120,17/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,168,19/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,219,19/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,129,19/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,117,20/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,23/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,208,24/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,215,24/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,219,25/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,52,210,25/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,25,223,26/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,26/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,,27/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,59,117,27/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,28/04/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,219,03/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,219,03/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,121,03/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,06/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,06/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,06/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,07/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
