

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(09-APR-2025 19:49:16)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,117 , PEPL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,54 , GFCL , C , 2 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,54 , GFCL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,55 , CPL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,56 , IRM , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,57 , PPL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,57 , PPL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,58 , YARALTD , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,58 , YARALTD , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,59 , INPEROX , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,60 , RAFECHL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,208 , CNTENKA , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,227 , HCGPUTE , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,64 , IGSPL , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,64 , IGSPL , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,63 , GOAGLSF , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,124 , MGRPL , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,124 , MGRPL , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,65 , PEFORCV , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 5 , 3 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 6 , 3 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 6 , 3 , 01/05/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 3 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 4 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 5 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 4 , 2 , 01/01/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,105 , HMEL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,104 , TASTELI , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,190 , AGPCGIN , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,190 , AGPCGIN , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,158 , HINDURV , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,158 , HINDURV , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,92 , NEL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,188 , VISHPRI , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,185 , SOMANYL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,107 , IDOINVA , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,67 , DCMSHRI , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,167 , GOLDPFG , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,277 , VIGASLD , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,61 , EFSPL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,186 , VEDALTD , C , 1 , 1 , 01/05/2005 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2,186 , VEDALTD , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,122 , GAILGAS , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,122 , GAILGAS , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,106 , RATNAGI , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,106 , RATNAGI , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,202 , BHOGATD , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
