

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(03-JUL-2025 15:48:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF(Mandate Conform no),TIMESTAMP
2, 15:HPCL, , , , , 0, ,1,22019, 	(03-JUL-2025 15:48:22)	 (Not Inserted)
2, 20:AMNS, , , , , 0, ,1,22022, 	(03-JUL-2025 15:48:22)	 (Not Inserted)
2, 20:AMNS, , , , , 0, ,1,22028, 	(03-JUL-2025 15:48:22)	 (Not Inserted)
2, 154:SEMTPL, , , , , 0, ,1,22029, 	(03-JUL-2025 15:48:22)	 (Not Inserted)
2, 154:SEMTPL, , , , , 0, ,1,22030, 	(03-JUL-2025 15:48:22)	 (Not Inserted)
2, 270:TGPL, M, 1, 0, N, 710001, 0,1,5002, 	(03-JUL-2025 15:48:22)
2, 270:TGPL, M, 1, 0, N, 710002, 0,1,6003, 	(03-JUL-2025 15:48:22)
2, 270:TGPL, M, 1, 0, N, 710003, 0,1,6012, 	(03-JUL-2025 15:48:22)
2, 270:TGPL, M, 1, 0, N, 710004, 0,1,7004, 	(03-JUL-2025 15:48:22)
2, 270:TGPL, M, 1, 0, N, 710005, 0,1,7007, 	(03-JUL-2025 15:48:22)
