

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(01-MAR-2025 14:47:35)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,16 , JSW , C , 1 , 25/11/2014 00:00:00 , P1, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,16 , JSW , C , 2 , 25/11/2014 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,17 , BGL , C , 1 , 28/07/2016 00:00:00 , R, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,18 , GSFC , C , 1 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 2 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 3 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,18 , GSFC , C , 4 , 11/08/2016 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 5 , 11/08/2016 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 6 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 7 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 8 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 9 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 10 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,18 , GSFC , C , 11 , 11/08/2016 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 12 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,18 , GSFC , C , 13 , 11/08/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,228 , H-Energy , C , 1 , 14/11/2016 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,228 , H-Energy , C , 2 , 14/11/2016 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,228 , H-Energy , C , 3 , 14/11/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,160 , SIMPL , C , 1 , 14/11/2016 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,160 , SIMPL , C , 2 , 14/11/2016 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,19 , ATGL , C , 1 , 01/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,19 , ATGL , C , 2 , 15/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,19 , ATGL , C , 3 , 15/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,19 , ATGL , C , 4 , 15/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,19 , ATGL , C , 5 , 22/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,20 , AMNS , C , 1 , 09/03/2017 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,20 , AMNS , C , 2 , 01/07/2021 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 3 , 01/07/2021 00:00:00 , P2, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 4 , 01/07/2021 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 5 , 01/12/2023 00:00:00 , P4, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 6 , 01/07/2021 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 7 , 01/07/2021 00:00:00 , P1, 	(01-MAR-2025 14:47:39)	 (Not Inserted)
