

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
14 ,SBI RATE BUY SELL , 02/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 03/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 03/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 03/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 04/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 04/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 04/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 05/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 05/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 05/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 06/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 06/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 06/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 09/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 09/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 09/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 12/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 12/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 12/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 13/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 13/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 13/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 16/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 16/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 16/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 17/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 17/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 17/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 18/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 18/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 18/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 19/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 19/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 19/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 20/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 20/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 20/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 23/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 23/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 23/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 24/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 24/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 24/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 25/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 25/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 25/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 26/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 26/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 26/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 27/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 27/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 27/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 30/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 30/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 30/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 31/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 31/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 31/03/2009 00:00:00, 	(18-FEB-2025 10:26:53)
6 ,CUSTOM EXCHANGE RATE , 30/03/2005 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 02/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
