

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 15:54:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO,TIMESTAMP,
2,20,1,0,30,3,,4,6, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,5,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,34,3,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,38,0,,4,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,36,0,,45,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,1,,45,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,0,,4,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,3,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,4,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,32,0,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,2,,4,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,36,0,,4,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,1,,4,6, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,4,,4,6, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,2,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,31,1,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,33,2,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,31,1,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,31,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,28,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,33,1,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,4,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,34,2,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,2,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,1,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,38,0,,29,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,3,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,33,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,31,0,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,31,2,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,3,,45,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,38,1,,4,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,35,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,2,,45,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,1,,4,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,34,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,26,0,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,0,,4,6, 	(04-JUN-2025 15:54:00)
2,20,1,0,33,3,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,32,1,,4,3, 	(04-JUN-2025 15:54:00)
