

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(27-FEB-2025 14:33:10)
 
<CD> <AGMT_NO> <CONT_NO> <CONT_NAME> <CONT_REF_NO> 	<TIMESTAMP>
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 22008 	(27-FEB-2025 14:33:12)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 22010 	(27-FEB-2025 14:33:12)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 23012 	(27-FEB-2025 14:33:12)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 23013 	(27-FEB-2025 14:33:12)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 23014 	(27-FEB-2025 14:33:12)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 24005 	(27-FEB-2025 14:33:12)	 (Not Inserted)
291 null 724002 SEIPL-DT-MSPA1-REV0 N724002-REV0 7030 	(27-FEB-2025 14:33:12)	 (Not Inserted)
291 null 724002 SEIPL-DT-MSPA1-REV0 N724002-REV0 7031 	(27-FEB-2025 14:33:12)	 (Not Inserted)
291 null 724002 SEIPL-DT-MSPA1-REV0 N724002-REV0 8031 	(27-FEB-2025 14:33:12)	 (Not Inserted)
291 null 724002 SEIPL-DT-MSPA1-REV0 N724002-REV0 9027 	(27-FEB-2025 14:33:12)	 (Not Inserted)
291 null 724002 SEIPL-DT-MSPA1-REV0 N724002-REV0 10010 	(27-FEB-2025 14:33:12)	 (Not Inserted)
268 null 724002 SEIPL-ThirdParty-MSPA1-REV0 N724002-REV0 20004 	(27-FEB-2025 14:33:12)	 (Not Inserted)
268 null 724002 SEIPL-ThirdParty-MSPA1-REV0 N724002-REV0 20009 	(27-FEB-2025 14:33:12)	 (Not Inserted)
296 null 724002 SEIPL-RIL-CBM-MSPA1-REV0 N724002-REV0 24004 	(27-FEB-2025 14:33:12)	 (Not Inserted)

TOTAL DATA IN EXCEL : 186 	(27-FEB-2025 14:33:12)
 

TOTAL DATA INSERTED : 0 	(27-FEB-2025 14:33:12)
 

TOTAL SKIPPED DATA 186 	(27-FEB-2025 14:33:12)
 
<<END>><<FMS_TRADER_CN_MST>> 	(27-FEB-2025 14:33:12)
 

<<START>>,<<FMS_BUY_CARGO_NOM>>,,,, 	(27-FEB-2025 14:33:40)
 

TOTAL DATA IN EXCEL : 0 	(27-FEB-2025 14:33:40)
 

TOTAL DATA INSERTED : 0 	(27-FEB-2025 14:33:40)
 

TOTAL SKIPPED DATA 0 	(27-FEB-2025 14:33:40)
 
<<END>><<FMS_BUY_CARGO_NOM>> 	(27-FEB-2025 14:33:40)
 
