

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(03-MAY-2025 17:04:27)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,F,0,0,T0015349,18.8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,CP,0,0,T0015346,18.8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 10, 2008-2009,CF,0,0,T0015349,18.8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,P,0,0,T0017561,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,PF,0,0,T0017561,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,F,0,0,T0017565,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,CP,0,0,T0017561,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 11, 2008-2009,CF,0,0,T0017565,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,P,0,0,T0020669,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,PF,0,0,T0020669,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,F,0,0,T0020685,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,CP,0,0,T0020669,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,CF,0,0,T0020685,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,P,0,0,T0018517,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,PF,0,0,T0018517,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,F,0,0,T0018532,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,CP,0,0,T0018517,4.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,P,0,0,LNG_33,5.624, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,PF,0,0,LNG_33,5.624, 	(03-MAY-2025 17:04:28)
