

<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(09-APR-2025 19:52:38)
 
COMPANY_CD,CD,ABBR,ADDR_TYPE,ENTITY,EFF_DT,TIMESTAMP
2, 193 , ASTIS , R , C , 17/02/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 109 , PROTON , R , C , 16/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 192 , ANTIQUE , R , C , 16/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 149 , ACEGRAL , R , C , 16/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 38 , KAJARIA , C , C , 30/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 38 , KAJARIA , R , C , 30/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 38 , KAJARIA , B , C , 30/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 222 , GASGROWS , R , C , 07/05/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 39 , SISECAM , C , C , 09/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 39 , SISECAM , R , C , 09/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 39 , SISECAM , B , C , 09/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 40 , ATPL , R , C , 17/12/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 40 , ATPL , B , C , 17/12/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 40 , ATPL , C , C , 17/12/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 41 , OPAL , C , C , 28/07/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 41 , OPAL , R , C , 28/07/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 41 , OPAL , B , C , 28/07/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 234 , JKPAPER , C , C , 02/08/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 234 , JKPAPER , R , C , 02/08/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 234 , JKPAPER , B , C , 02/08/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 263 , STL , R , C , 25/08/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 263 , STL , B , C , 25/08/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 263 , STL , C , C , 25/08/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 273 , UEPL , R , C , 03/09/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 206 , CELLO , R , C , 01/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 206 , CELLO , B , C , 01/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 206 , CELLO , C , C , 01/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 204 , CALDERYS , R , C , 20/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 204 , CALDERYS , B , C , 20/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 204 , CALDERYS , C , C , 20/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 42 , RCF , R , C , 30/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 42 , RCF , B , C , 30/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 42 , RCF , C , C , 30/12/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 201 , BWRL , R , C , 25/01/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 201 , BWRL , B , C , 25/01/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 201 , BWRL , C , C , 25/01/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 235 , KRYO , R , C , 31/01/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 276 , VIRGO , C , C , 12/02/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 276 , VIRGO , R , C , 12/02/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 276 , VIRGO , B , C , 12/02/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 196 , BLPL , R , C , 02/03/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 196 , BLPL , B , C , 26/05/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 196 , BLPL , C , C , 26/05/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 223 , GIPSKARTON , B , C , 24/03/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 223 , GIPSKARTON , R , C , 24/03/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 270 , TGPL , C , T , 27/04/2005 00:00:00, 	(09-APR-2025 19:52:39)
2, 270 , TGPL , R , T , 27/04/2005 00:00:00, 	(09-APR-2025 19:52:39)
2, 116 , SELNG , R , T , 03/10/2008 00:00:00, 	(09-APR-2025 19:52:39)
2, 116 , SELNG , C , T , 03/10/2008 00:00:00, 	(09-APR-2025 19:52:39)
2, 116 , SELNG , R , T , 29/04/2005 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 256 , SITME , R , T , 21/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 256 , SITME , B , T , 21/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 256 , SITME , C , T , 21/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 1 , RIL , R , T , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 1 , RIL , B , T , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 43 , BP , C , T , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 43 , BP , R , T , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 43 , BP , B , T , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2,  , AMNS-T , R , T , 01/01/2019 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 1 , RIL , R , T , 25/03/2022 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , PIL-Haz , C , R , 14/09/2008 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , PIL-Haz , C , R , 14/09/2010 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , PIL-Haz , C , R , 25/04/2019 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 45 , GSPL , R , C , 21/04/2006 00:00:00, 	(09-APR-2025 19:52:39)
2, 45 , GSPL , R , R , 21/04/2006 00:00:00, 	(09-APR-2025 19:52:39)
2,  , PARK-MSK , R , R , 19/04/2022 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , PARK-BHD , R , R , 19/04/2022 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , PARKPHUCBM , R , R , 19/04/2022 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 46 , TGLPL , C , C , 29/04/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 46 , TGLPL , R , C , 29/04/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 46 , TGLPL , B , C , 29/04/2022 00:00:00, 	(09-APR-2025 19:52:39)
