

<<START>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,, 	(17-MAY-2025 17:56:51)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
SEMTEXP,278,S,1,0,8,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SUMGLAS,183,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SVTPLIN,184,S,1,0,2,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SVTPLIN,184,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CRMNDEL,130,S,1,0,2,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CRMNDEL,130,S,1,0,2,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CRMNDEL,130,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,0,,,,,, 	(17-MAY-2025 17:56:51)
 

TOTAL DATA INSERTED : ,0,,,,,, 	(17-MAY-2025 17:56:51)
 

TOTAL SKIPPED DATA ,220,,,,,, 	(17-MAY-2025 17:56:51)
 
<<END>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,,,,,, 	(17-MAY-2025 17:56:51)
 

<<START>>,<<FMS_SUPPLY_PURCHASE_MAP_DTL>>,, 	(17-MAY-2025 17:56:51)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PUR_CONT_NO,TIMESTAMP,
RIL,1,S,2,1,40,0,714001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,15,0,710028, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,21,0,710098, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,1,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,9,0,710093, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,11,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,23,0,711004, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,26,0,711008, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,18,0,710096, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,22,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,21,1,711004, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,19,0,710030, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,1,0,710025, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,12,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,13,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,14,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,20,0,710098, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,6,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,9,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,24,1,711007, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,16,0,710029, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,24,0,711007, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,3,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,1,0,710087, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,9,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,23,0,711005, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,1,39,0,714001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,15,0,710095, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,15,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,16,0,710096, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,18,0,710097, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,24,0,711002, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,21,0,711004, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,22,0,710098, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,2,0,710089, 	(17-MAY-2025 17:56:51)
