

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(20-FEB-2025 17:45:43)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
IRON & STEEL REWORKS,, 	(20-FEB-2025 17:45:44)
ALUMINIUM,, 	(20-FEB-2025 17:45:44)
FOUNDRIES/CASTINGS,, 	(20-FEB-2025 17:45:44)
FERROUS ALLOYS,, 	(20-FEB-2025 17:45:44)
METAL. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
CANDLE INDUSTRY,, 	(20-FEB-2025 17:45:44)
MATCHES,, 	(20-FEB-2025 17:45:44)
RUBBER TYRES & TUBES,, 	(20-FEB-2025 17:45:44)
PAPER PRODUCTS,, 	(20-FEB-2025 17:45:44)
INDU ABRASIVES,, 	(20-FEB-2025 17:45:44)
GLASS/CERAMICS ETC,, 	(20-FEB-2025 17:45:44)
PACKING MATERIALS,, 	(20-FEB-2025 17:45:44)
PLASTIC INDUSTRIES,, 	(20-FEB-2025 17:45:44)
LEATHER,, 	(20-FEB-2025 17:45:44)
PROCESSOR,, 	(20-FEB-2025 17:45:44)
TOBACCO PRODUCTS,, 	(20-FEB-2025 17:45:44)
INDUS. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
COTTON MILLS HOSIERY,, 	(20-FEB-2025 17:45:44)
JUTE MILLS,, 	(20-FEB-2025 17:45:44)
SYN.FIBRE/RAYON MF,, 	(20-FEB-2025 17:45:44)
TEXTI. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
PET.EXPLO&PROD,, 	(20-FEB-2025 17:45:44)
IRON ORE,, 	(20-FEB-2025 17:45:44)
COAL,, 	(20-FEB-2025 17:45:44)
BAUXITE,, 	(20-FEB-2025 17:45:44)
MANGANESE,, 	(20-FEB-2025 17:45:44)
STONE QUARRYING,, 	(20-FEB-2025 17:45:44)
MINING MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
POST & TELEGRAPHS,, 	(20-FEB-2025 17:45:44)
STATE ELEC. BOARDS,, 	(20-FEB-2025 17:45:44)
CATERING & HOTELS,, 	(20-FEB-2025 17:45:44)
UNIVERSITIES ETC,, 	(20-FEB-2025 17:45:44)
LAUNDRIES,, 	(20-FEB-2025 17:45:44)
REFINERIES,, 	(20-FEB-2025 17:45:44)
TPP-OIL,, 	(20-FEB-2025 17:45:44)
HYDEL POWER PLANTS,, 	(20-FEB-2025 17:45:44)
ATOMIC POWER PLANTS,, 	(20-FEB-2025 17:45:44)
GAS TURBINES,, 	(20-FEB-2025 17:45:44)
POWER MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
