

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(23-SEP-2025 14:36:05)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 110:SITMEFZ, M, 1, 0, N, 723008, 0,1,23034, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723009, 0,1,23040, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724001, 0,1,24002, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724001, 0,2,24003, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724001, 0,3,24004, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724002, 0,1,24006, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724003, 0,1,24010, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724004, 0,1,24011, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 724005, 0,1,24015, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 725001, 0,1,25001, 	(23-SEP-2025 14:36:05)
