

<<START>>,<<FMS_TRADER_CONT_MST>>,,,, 	(14-MAY-2025 12:50:22)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,822005, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,822006, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,822007, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,822008, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,822009, 0,D, 	(14-MAY-2025 12:50:23)
2,15, 0, 0,822010, 0,D, 	(14-MAY-2025 12:50:23)
2,51, 0, 0,822011, 1,I, 	(14-MAY-2025 12:50:23)
2,51, 0, 0,822011, 0,I, 	(14-MAY-2025 12:50:23)
2,51, 0, 0,822012, 0,I, 	(14-MAY-2025 12:50:23)
2,51, 0, 0,822013, 1,I, 	(14-MAY-2025 12:50:23)
2,51, 0, 0,822013, 0,I, 	(14-MAY-2025 12:50:23)
