
<<START>>,<<FMS_TRADER_CN_MST>>, 	(16-JUL-2025 17:18:03)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
252, M ,14, 0 , N ,725228, 0 , 	(16-JUL-2025 17:18:06)
252, M ,15, 0 , N ,725229, 0 , 	(16-JUL-2025 17:18:06)
252, M ,16, 0 , N ,725230, 0 , 	(16-JUL-2025 17:18:06)
252, M ,17, 0 , N ,725231, 0 , 	(16-JUL-2025 17:18:06)

TOTAL DATA EXTRACTED :,231,  	(16-JUL-2025 17:18:06)
 
<<END>>,<<FMS_TRADER_CN_MST>>, 	(16-JUL-2025 17:18:06)
 
<<START>>,<<FMS_TRADER_CARGO_MST>>, 	(16-JUL-2025 17:18:25)
 
ABBR,MAN_CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,TIMESTAMP
HPCL,22009, M ,1, 0 , N ,725001, 0 ,1, 	(16-JUL-2025 17:18:25)
AMNS,22012, M ,1, 0 , N ,725002, 0 ,1, 	(16-JUL-2025 17:18:25)
AMNS,22017, M ,2, 0 , N ,725003, 0 ,1, 	(16-JUL-2025 17:18:25)
SEMTPL,22018, M ,1, 0 , N ,725004, 0 ,1, 	(16-JUL-2025 17:18:25)
SEMTPL,22019, M ,2, 0 , N ,725005, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,5002, M ,1, 0 , N ,725006, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,6003, M ,2, 0 , N ,725007, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,6012, M ,3, 0 , N ,725008, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7004, M ,4, 0 , N ,725009, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7007, M ,5, 0 , N ,725010, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7012, M ,6, 0 , N ,725011, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7019, M ,7, 0 , N ,725012, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7020, M ,8, 0 , N ,725013, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7022, M ,9, 0 , N ,725014, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7023, M ,10, 0 , N ,725015, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,7024, M ,11, 0 , N ,725016, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8001, M ,12, 0 , N ,725017, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8007, M ,13, 0 , N ,725018, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8013, M ,14, 0 , N ,725019, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8014, M ,15, 0 , N ,725020, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8015, M ,16, 0 , N ,725021, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8017, M ,17, 0 , N ,725022, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8019, M ,18, 0 , N ,725023, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8021, M ,19, 0 , N ,725024, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8025, M ,20, 0 , N ,725025, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8026, M ,21, 0 , N ,725026, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,8028, M ,22, 0 , N ,725027, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9003, M ,23, 0 , N ,725028, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9004, M ,24, 0 , N ,725029, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9005, M ,25, 0 , N ,725030, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9007, M ,26, 0 , N ,725031, 0 ,1, 	(16-JUL-2025 17:18:25)
