
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:26)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
12,12,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,1,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,2,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,3,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,4,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,5,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,6,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,7,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,8,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,1,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,2,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,1,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,2,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,3,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,4,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,5,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,6,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,7,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,8,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,9,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,10,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,11,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,12,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,13,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,14,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,1,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,2,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,3,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,4,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,5,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,6,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,7,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,8,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,9,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,10,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,11,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,12,1,0,K,L, 	(17-MAY-2025 18:06:28)
