
<<START>>,<<FMS_TRADER_CONT_BU>>, 	(31-AUG-2025 10:55:20)
 
TRADER_ABBR,FGSA_NO,FGSA_REV_NO,SN_NO,SN_REV_NO,TIMESTAMP
RIL,0,0,2,18, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,18, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,18, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,17, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,17, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,17, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,17, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,17, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,17, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,16, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,16, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,16, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,16, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,16, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,16, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,15, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,15, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,15, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,15, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,14, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,14, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,14, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,14, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,14, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,14, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,6, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,6, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,6, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,6, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,5, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,5, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,5, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,5, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,3, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,3, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,3, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,3, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,2,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,13, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,12, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,11, 	(31-AUG-2025 10:55:21)
