

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 10:15:47)
 
COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO, TIMESTAMP
1,2,0,31,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,31,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,44,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,44,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,44,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,44,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,38,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,38,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,38,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,38,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,21,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,21,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,21,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,21,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,21,2,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,21,2,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,21,2,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,21,2,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,3,0,2,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,3,0,2,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,3,0,2,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,3,0,2,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,L,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,L,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,L,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,L,GSPL,4, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,14,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
