
<<START>>,<<FMS_LTCORA_CONT_BILLING_DTL>>,,,, 	(12-SEP-2025 16:03:09)
 
RIL,C,A,1,0,12, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,13, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,14, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,13, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,14, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,13, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,14, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,6, 	(12-SEP-2025 16:03:10)
AMNS,C,A,17,0,2, 	(12-SEP-2025 16:03:10)

TOTAL DATA EXTRACTED :,194,,,, 	(12-SEP-2025 16:03:10)
 
<<END>>,<<FMS_LTCORA_CONT_BILLING_DTL>>,,,, 	(12-SEP-2025 16:03:10)
 
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(12-SEP-2025 16:03:10)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
AMNS,C,A,19,0,2, 	(12-SEP-2025 16:03:10)
AMNS,C,A,19,0,2, 	(12-SEP-2025 16:03:10)
AMNS,C,A,19,0,2, 	(12-SEP-2025 16:03:10)

TOTAL DATA EXTRACTED :,3,,,, 	(12-SEP-2025 16:03:10)
 
<<END>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(12-SEP-2025 16:03:10)
 
<<START>>,<<FMS_LTCORA_CONT_CARGO_DTL>>,,,, 	(12-SEP-2025 16:03:10)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
TGPL,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
SITME,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
TGPL,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
SITME,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
SITME,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
TGPL,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
SITME,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
SITME,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
TGPL,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
ThirdParty,1,O,1,0,1,0, 	(12-SEP-2025 16:03:10)
