

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,237 ,,, 	(30-AUG-2025 10:37:25)
 
<<END>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:25)
 

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,,, 	(30-AUG-2025 10:37:25)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_NO,INVOICE_TYPE,TIMESTAMP,
Gail,16-1-1-16-1601-1211,Tender,UPG2A24109020370,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1211,Tender,UPG2A24109020371,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1606-892,Tender,UPG2A23109012526,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-4-16-1604-1101,Trans,GAG2A22134000298,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-4-16-1604-1101,Trans,GAG2A22134000298,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-4-16-1604-1101,Trans,GAG2A22134000318,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-4-16-1604-1101,Trans,GAG2A22134000318,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-4-16-1604-1101,Trans,GAG2A22134000318,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-4-16-1604-1101,Trans,GAG2A22134000338,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-292,Tender,UPG2A24109020631,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-292,Tender,UPG2A24109020632,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-292,Tender,UPG2A24109020633,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1032,Tender,UPG2A24109020306,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1032,Tender,UPG2A24109020307,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1032,Tender,UPG2A24109020308,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-5-16-1603-861,Trans,UPG2A22109006201,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-7-16-1604-101,Trans,MHG2A22105001926,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-9-16-1602-782,Trans,MHG2A22105001271,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-12-16-1604-782,Trans,MHG2A22105001679,TC, 	(30-AUG-2025 10:37:25)
