

<<START>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:51)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV 	(03-MAR-2025 12:33:52)
HPCL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GSFC,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
GSFC,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
GSFC,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
GSFC,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
H-Energy,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
H-Energy,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
H-Energy,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
H-Energy,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
SIMPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
SIMPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
SIMPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
SIMPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)
AMNS,F,2,3,GSPL,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,3,GSPL,2, 	(03-MAR-2025 12:33:54)
AMNS,F,2,3,GSPL,3, 	(03-MAR-2025 12:33:54)
AMNS,F,2,3,GSPL,4, 	(03-MAR-2025 12:33:54)
AMNS,F,2,0,GSPL,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,0,GSPL,2, 	(03-MAR-2025 12:33:54)
AMNS,F,2,0,GSPL,3, 	(03-MAR-2025 12:33:54)
AMNS,F,2,0,GSPL,4, 	(03-MAR-2025 12:33:54)
AMNS,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:54)
AMNS,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
AMNS,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
AMNS,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)
AMNS,F,3,0,GSPL,1, 	(03-MAR-2025 12:33:54)
AMNS,F,3,0,GSPL,2, 	(03-MAR-2025 12:33:54)
AMNS,F,3,0,GSPL,3, 	(03-MAR-2025 12:33:54)
AMNS,F,3,0,GSPL,4, 	(03-MAR-2025 12:33:54)
AMNS,F,2,1,GSPL,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,1,GSPL,2, 	(03-MAR-2025 12:33:54)
AMNS,F,2,1,GSPL,3, 	(03-MAR-2025 12:33:54)
AMNS,F,2,1,GSPL,4, 	(03-MAR-2025 12:33:54)
AMNS,F,2,2,GSPL,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,2,GSPL,2, 	(03-MAR-2025 12:33:54)
AMNS,F,2,2,GSPL,3, 	(03-MAR-2025 12:33:54)
AMNS,F,2,2,GSPL,4, 	(03-MAR-2025 12:33:54)
SEMTIPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:54)
SEMTIPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
SEMTIPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
SEMTIPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)
SGIPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:54)
SGIPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
SGIPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
SGIPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)
VGL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:54)
VGL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
VGL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
VGL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)
PGPGPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:54)
PGPGPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
PGPGPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
PGPGPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)
PipeInfra,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:54)
PipeInfra,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:54)
PipeInfra,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:54)
PipeInfra,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:54)

TOTAL DATA EXTRACTED :,160,  	(03-MAR-2025 12:33:54)
 
<<END>>,<<FMS_AGMT_TRANSPTR>>,,,, 	(03-MAR-2025 12:33:54)
 
<<START>>,<<FMS_AGMT_PLANT>>,,,, 	(03-MAR-2025 12:33:54)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO 	(03-MAR-2025 12:33:54)
 
RIL,F,2,1,1, 	(03-MAR-2025 12:33:54)
RIL,F,2,1,4, 	(03-MAR-2025 12:33:54)
RIL,F,4,0,3, 	(03-MAR-2025 12:33:54)
RIL,F,3,0,2, 	(03-MAR-2025 12:33:54)
RIL,F,2,0,2, 	(03-MAR-2025 12:33:54)
RIL,F,1,0,3, 	(03-MAR-2025 12:33:54)
RIL,F,2,1,3, 	(03-MAR-2025 12:33:54)
RIL,F,4,0,1, 	(03-MAR-2025 12:33:54)
RIL,F,3,0,1, 	(03-MAR-2025 12:33:54)
RIL,F,2,0,6, 	(03-MAR-2025 12:33:54)
RIL,F,1,0,2, 	(03-MAR-2025 12:33:54)
RIL,F,3,0,4, 	(03-MAR-2025 12:33:54)
RIL,F,2,0,4, 	(03-MAR-2025 12:33:54)
RIL,F,2,1,2, 	(03-MAR-2025 12:33:54)
RIL,F,3,0,6, 	(03-MAR-2025 12:33:54)
RIL,F,2,0,3, 	(03-MAR-2025 12:33:54)
RIL,F,2,0,5, 	(03-MAR-2025 12:33:54)
RIL,F,3,0,5, 	(03-MAR-2025 12:33:54)
RIL,F,2,0,1, 	(03-MAR-2025 12:33:54)
RIL,F,4,0,5, 	(03-MAR-2025 12:33:54)
RIL,F,3,0,3, 	(03-MAR-2025 12:33:54)
RIL,F,2,1,5, 	(03-MAR-2025 12:33:54)
RIL,F,2,1,6, 	(03-MAR-2025 12:33:54)
MGL,F,2,0,1, 	(03-MAR-2025 12:33:54)
MGL,F,6,0,1, 	(03-MAR-2025 12:33:54)
MGL,F,5,0,1, 	(03-MAR-2025 12:33:54)
MGL,F,4,0,1, 	(03-MAR-2025 12:33:54)
MGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
MGL,F,7,0,1, 	(03-MAR-2025 12:33:54)
MGL,F,3,0,1, 	(03-MAR-2025 12:33:54)
GSPCL,F,1,1,1, 	(03-MAR-2025 12:33:54)
GSPCL,F,2,0,1, 	(03-MAR-2025 12:33:54)
GSPCL,F,1,3,1, 	(03-MAR-2025 12:33:54)
GSPCL,F,3,0,1, 	(03-MAR-2025 12:33:54)
GSPCL,F,1,2,1, 	(03-MAR-2025 12:33:54)
GSPCL,F,1,0,1, 	(03-MAR-2025 12:33:54)
Gail,F,1,0,1, 	(03-MAR-2025 12:33:54)
Gail,F,2,0,1, 	(03-MAR-2025 12:33:54)
Gail,F,2,1,1, 	(03-MAR-2025 12:33:54)
BPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
EPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
ESL,F,1,0,1, 	(03-MAR-2025 12:33:54)
