
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(03-JUN-2025 11:32:58)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX ,  CONT_TYPE,TIMESTAMP
45,8,1,K,S, 	(03-JUN-2025 11:33:00)
45,1,1,K,L, 	(03-JUN-2025 11:33:00)
45,2,1,K,L, 	(03-JUN-2025 11:33:00)
45,3,1,K,L, 	(03-JUN-2025 11:33:00)
45,4,1,K,L, 	(03-JUN-2025 11:33:00)
45,5,1,K,L, 	(03-JUN-2025 11:33:00)
45,6,1,K,L, 	(03-JUN-2025 11:33:00)
45,7,1,K,L, 	(03-JUN-2025 11:33:00)
45,8,1,K,L, 	(03-JUN-2025 11:33:00)
45,9,1,K,L, 	(03-JUN-2025 11:33:00)
45,10,1,K,L, 	(03-JUN-2025 11:33:00)
45,11,1,K,L, 	(03-JUN-2025 11:33:00)
45,12,1,K,L, 	(03-JUN-2025 11:33:00)
45,13,1,K,L, 	(03-JUN-2025 11:33:00)
45,14,1,K,L, 	(03-JUN-2025 11:33:00)
45,15,1,K,L, 	(03-JUN-2025 11:33:00)
54,1,1,K,S, 	(03-JUN-2025 11:33:00)
54,2,1,K,S, 	(03-JUN-2025 11:33:00)
54,3,1,K,S, 	(03-JUN-2025 11:33:00)
54,4,1,K,S, 	(03-JUN-2025 11:33:00)
54,5,1,K,S, 	(03-JUN-2025 11:33:00)
54,6,1,K,S, 	(03-JUN-2025 11:33:00)
54,7,1,K,S, 	(03-JUN-2025 11:33:00)
54,8,1,K,S, 	(03-JUN-2025 11:33:00)
54,9,1,K,S, 	(03-JUN-2025 11:33:00)
57,1,1,K,S, 	(03-JUN-2025 11:33:00)
57,2,1,K,S, 	(03-JUN-2025 11:33:00)
57,3,1,K,S, 	(03-JUN-2025 11:33:00)
57,4,1,K,S, 	(03-JUN-2025 11:33:00)
58,1,1,K,S, 	(03-JUN-2025 11:33:00)
58,2,1,K,S, 	(03-JUN-2025 11:33:00)
58,3,1,K,S, 	(03-JUN-2025 11:33:00)
58,4,1,K,S, 	(03-JUN-2025 11:33:00)
58,5,1,K,S, 	(03-JUN-2025 11:33:00)
58,6,1,K,S, 	(03-JUN-2025 11:33:00)
58,7,1,K,S, 	(03-JUN-2025 11:33:00)
58,8,1,K,S, 	(03-JUN-2025 11:33:00)
58,9,1,K,S, 	(03-JUN-2025 11:33:00)
68,1,1,K,S, 	(03-JUN-2025 11:33:00)
70,1,1,K,S, 	(03-JUN-2025 11:33:00)
