
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
EXXARO , 60 , C , C , 23/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
EXXARO , 60 , R , C , 29/05/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
STVPL , 61 , R , C , 18/02/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
JGPL , 62 , R , C , 18/02/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
WALLCERA , 63 , R , C , 17/02/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
ASTIS , 64 , R , C , 17/02/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
PROTON , 65 , R , C , 16/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
ANTIQUE , 66 , R , C , 16/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
ACER , 67 , R , C , 16/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
KAJARIA , 68 , C , C , 30/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
KAJARIA , 68 , R , C , 30/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
KAJARIA , 68 , B , C , 30/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
GASGROWS , 69 , R , C , 07/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
SISECAM , 70 , C , C , 09/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
SISECAM , 70 , R , C , 09/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
SISECAM , 70 , B , C , 09/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATPL , 71 , R , C , 17/12/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATPL , 71 , B , C , 17/12/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATPL , 71 , C , C , 17/12/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
OPAL , 72 , B , C , 28/07/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
OPAL , 72 , R , C , 28/07/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
OPAL , 72 , C , C , 28/07/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
JKPAPER , 73 , C , C , 02/08/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
JKPAPER , 73 , R , C , 02/08/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
JKPAPER , 73 , B , C , 02/08/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
