
<<START>>,<<FMS_SUPPLY_CONT_PLANT(DLNG)>>,,,, 	(12-JUN-2025 12:13:13)
 
COUNTERPARTY_ABBR,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,TIMESTAMP,
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
CELLO,1,0,1, 	(12-JUN-2025 12:13:14)
BWRL,1,0,1, 	(12-JUN-2025 12:13:14)
BWRL,1,0,1, 	(12-JUN-2025 12:13:14)
BWRL,1,0,1, 	(12-JUN-2025 12:13:14)
BWRL,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
VIRGO,1,0,1, 	(12-JUN-2025 12:13:14)
GIPSKARTON,1,0,1, 	(12-JUN-2025 12:13:14)
GIPSKARTON,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
TGBPL,1,0,1, 	(12-JUN-2025 12:13:14)
IMCL,1,0,1, 	(12-JUN-2025 12:13:14)
IMCL,1,0,1, 	(12-JUN-2025 12:13:14)
IMCL,1,0,1, 	(12-JUN-2025 12:13:14)
IMCL,1,0,1, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
GLIL,1,0,4, 	(12-JUN-2025 12:13:14)
SGI-AP,1,0,1, 	(12-JUN-2025 12:13:14)
SGI-AP,1,0,1, 	(12-JUN-2025 12:13:14)
CNTENKA,,1,0,1, 	(12-JUN-2025 12:13:14)
CNTENKA,,2,0,1, 	(12-JUN-2025 12:13:14)
CNTENKA,,2,0,1, 	(12-JUN-2025 12:13:14)
CNTENKA,,1,0,1, 	(12-JUN-2025 12:13:14)
CNTENKA,,2,0,1, 	(12-JUN-2025 12:13:14)
HCGPUTE,1,0,1, 	(12-JUN-2025 12:13:14)
HCGPUTE,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
COMFIND,1,0,1, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,1, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,1, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,1, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,1, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,1, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,2, 	(12-JUN-2025 12:13:14)
KINGASP,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,2, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,2, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,1, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,2, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,2, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,2, 	(12-JUN-2025 12:13:14)
AGPCGIN,1,0,2, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
VISHPRI,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,2, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,2, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,2, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,2, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,2, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,2, 	(12-JUN-2025 12:13:14)
BHOGATD,1,0,1, 	(12-JUN-2025 12:13:14)
VIGASLD,1,0,1, 	(12-JUN-2025 12:13:14)
