
<<START>>,<<FMS_LTCORA_AGMT_TRANSPTR>>,,,, 	(30-MAY-2025 13:14:18)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
AMNS,A,19,0, 	(30-MAY-2025 13:14:42)
SEMTPL,A,1,0, 	(30-MAY-2025 13:14:42)

TOTAL DATA EXTRACTED :,36 ,,, 	(30-MAY-2025 13:14:42)
 
<<END>>,<<FMS_LTCORA_AGMT_LIABILITY>>,,, 	(30-MAY-2025 13:14:42)
 
<<START>>,<<FMS_LTCORA_AGMT_BILLING_DTL>>,,,, 	(30-MAY-2025 13:14:42)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
RIL,C,A,1,0,1, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,2, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,3, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,4, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,5, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,7, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,8, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,9, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,10, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,1, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,2, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,3, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,4, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,5, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,7, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,8, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,1, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,2, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,3, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,4, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,5, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,6, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,7, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,8, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,9, 	(30-MAY-2025 13:14:42)
RIL,C,A,1,0,10, 	(30-MAY-2025 13:14:42)
GSPCL,C,A,1,0,1, 	(30-MAY-2025 13:14:42)
GSPCL,C,A,2,0,1, 	(30-MAY-2025 13:14:42)
GSPCL,C,A,3,0,1, 	(30-MAY-2025 13:14:42)
GSPCL,C,A,4,0,1, 	(30-MAY-2025 13:14:42)
GSPCL,C,A,5,0,1, 	(30-MAY-2025 13:14:42)
GSPCL,C,A,1,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,1,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,2,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,3,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,4,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,5,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,6,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,7,0,1, 	(30-MAY-2025 13:14:42)
Gail,C,A,7,0,5, 	(30-MAY-2025 13:14:42)
Gail,C,A,7,0,6, 	(30-MAY-2025 13:14:43)
Gail,C,A,1,0,1, 	(30-MAY-2025 13:14:43)
TPL,C,A,1,0,1, 	(30-MAY-2025 13:14:43)
TPL,C,A,1,0,2, 	(30-MAY-2025 13:14:43)
HPCL,C,A,1,0,1, 	(30-MAY-2025 13:14:43)
HPCL,C,A,1,0,2, 	(30-MAY-2025 13:14:43)
AMNS,C,A,1,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,11,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,12,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,14,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,15,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,16,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,17,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,18,0,1, 	(30-MAY-2025 13:14:43)
AMNS,C,A,19,0,1, 	(30-MAY-2025 13:14:43)
