
<<START>>,<<FMS_INV_STORAGE_CRG_DTL>>,,,, 	(23-JUL-2025 14:58:59)
 
COUNTERPARTY_ABBR,INVOICE_SEQ,FINANCIAL_YEAR,STORAGE_DT,RATE_TYPE,TIMESTAMP,
,1,2023-2024,12/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,11/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,10/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,09/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,08/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,07/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,06/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,05/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,04/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,03/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,02/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,01/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,31/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,30/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,29/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2023-2024,20/08/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2023-2024,19/08/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2023-2024,18/08/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
