
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(02-MAY-2025 12:37:26)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
6010,null,0,20/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
6010,null,0,20/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
6005,null,0,29/11/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6005,null,0,29/11/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6005,null,0,29/11/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6005,null,0,29/11/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6002,null,0,17/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6002,null,0,17/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6002,null,0,27/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6002,null,0,17/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
7008,null,0,29/07/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7008,null,0,29/07/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7008,null,0,29/07/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7008,null,0,29/07/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7008,null,0,29/07/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7025,null,0,13/12/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7025,null,0,13/12/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7025,null,0,13/12/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7025,null,0,13/12/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7025,null,0,13/12/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
8004,null,0,08/03/2008 00:00:00,null, 	(02-MAY-2025 12:37:29)
