
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(19-FEB-2026 17:12:06)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, REMARK,FINANCIAL_YEAR,CONTRACT_TYPE,TIMESTAMP
10011,null,21/10/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10012,null,12/03/2012 00:00:00,The total custom duty is rounded and tallied with excel calculation,2010-2011,N, 	(19-FEB-2026 17:12:11)
10013,null,21/08/2012 00:00:00,The value matched as per Custom EDI system,2010-2011,N, 	(19-FEB-2026 17:12:11)
10009,null,15/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing.,2010-2011,N, 	(19-FEB-2026 17:12:11)
10010,null,21/08/2011 00:00:00,-1.21 Rs. Adjustment as Differencial CD.,2010-2011,N, 	(19-FEB-2026 17:12:11)
10011,null,25/10/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10012,null,12/03/2012 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10013,null,21/08/2012 00:00:00,Qty unloaded is less than provisional quantity,2010-2011,N, 	(19-FEB-2026 17:12:11)
10005,T0022044,09/09/2010 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10005,T0022044,09/09/2010 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10005,T0022092,23/09/2010 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10005,0819/10-11,13/09/2010 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
10005,951/10-11,25/09/2010 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
11002,T0023154,31/01/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
11002,T0023154,31/01/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
11002,T0023177,04/02/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
11002,null,02/02/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
11002,null,09/02/2011 00:00:00,null,2010-2011,N, 	(19-FEB-2026 17:12:11)
11011,T0030808,02/04/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11011,T0030808,02/04/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11012,T0031343,16/05/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11012,T0031343,16/05/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11013,T0031625,18/06/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11013,T0031625,18/06/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
