

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
GSPCL,1,3,94,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,97,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,89,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,91,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,91,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,93,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,95,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,96,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,98,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,101,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,99,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,100,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,101,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,102,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,102,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,100,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,100,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,89,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,68,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,85,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,90,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,92,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,82,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,77,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,69,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,86,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,87,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,33,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,36,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,39,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,18,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,21,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,67,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,75,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,75,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,75,3,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,71,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,76,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,76,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,80,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,81,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,81,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,86,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,88,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,67,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,79,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,82,1,S, 	(12-SEP-2025 10:51:33)
