
<<START>>,<<FMS_COUNTERPARTY_PLANT_TAX>>,,,, 	(21-FEB-2025 09:57:38)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_NM,TIMESTAMP
PipeInfra,43,C,6,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,10,GVAT TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,7,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,9,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,4,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,7,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,8,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,10,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,9,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,10,GSTIN, 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,11,GVAT TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,2,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,8,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,11,GSTIN, 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,3,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,4,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,6,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,11,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,5,GVAT TIN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,1,PAN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
NFL,44,C,3,VAT TIN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
NFL,44,C,2,PAN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,3,PAN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,3,CST TIN No., 	(21-FEB-2025 09:57:40)
NFL,44,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
HSIL,45,C,1,PAN No., 	(21-FEB-2025 09:57:40)
HSIL,45,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
HSIL,45,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
KFL,47,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
KFL,47,C,2,PAN No., 	(21-FEB-2025 09:57:40)
KFL,47,C,1,PAN No., 	(21-FEB-2025 09:57:40)
KFL,47,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
KFL,47,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
KFL,47,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
BIL,48,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
BIL,48,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
BIL,48,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
BIL,48,C,1,VAT TIN No., 	(21-FEB-2025 09:57:40)
BIL,48,C,1,PAN No., 	(21-FEB-2025 09:57:40)
RIPL,49,C,1,PAN No., 	(21-FEB-2025 09:57:40)
RIPL,49,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
RIPL,49,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
RIPL,49,C,1,VAT TIN No., 	(21-FEB-2025 09:57:40)
RIPL,49,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
CP,50,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
CP,50,C,1,PAN No., 	(21-FEB-2025 09:57:40)
CP,50,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
CP,50,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
HHFG DLNG,51,C,1,PAN No., 	(21-FEB-2025 09:57:40)
HHFG DLNG,51,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
HHFG DLNG,51,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
