
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(28-APR-2025 13:49:32)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
11009,null,null,25/05/2012 00:00:00,Due to the change in Custom EDI system additional cess Rs.63644.82 being paid in custom duty, 	(28-APR-2025 13:49:36)
11010,null,null,13/08/2012 00:00:00,Rounded off & tallied with custom EDI system value, 	(28-APR-2025 13:49:36)
11008,null,null,10/02/2012 00:00:00,Rounding of the actual value is Rs. 2585087.00 for which the cheque needs to be prepared., 	(28-APR-2025 13:49:36)
11009,null,null,25/05/2012 00:00:00,The Differential CD is the additional amount paid as the provisional custom duty which is reflected as Differential CD in Provisional customs duty payment window too., 	(28-APR-2025 13:49:36)
11010,null,null,13/08/2012 00:00:00,The Differential CD to be rounded off which will be the total refund value from the custom duty paid., 	(28-APR-2025 13:49:36)
5001,null,null,14/04/2005 00:00:00,Actual data, 	(28-APR-2025 13:49:36)
5001,null,null,14/04/2005 00:00:00,Actual data, 	(28-APR-2025 13:49:36)
5001,null,null,14/06/2005 00:00:00,null, 	(28-APR-2025 13:49:36)
5001,null,null,14/04/2005 00:00:00,null, 	(28-APR-2025 13:49:36)
5001,null,null,14/06/2005 00:00:00,null, 	(28-APR-2025 13:49:36)
5003,null,null,18/10/2005 00:00:00,Actual Data, 	(28-APR-2025 13:49:36)
5003,null,null,18/10/2005 00:00:00,Actual Data, 	(28-APR-2025 13:49:36)
5003,null,null,31/10/2005 00:00:00,null, 	(28-APR-2025 13:49:36)
5003,null,null,18/10/2005 00:00:00,null, 	(28-APR-2025 13:49:36)
5003,null,null,31/10/2005 00:00:00,null, 	(28-APR-2025 13:49:36)
6001,null,null,03/05/2006 00:00:00,null, 	(28-APR-2025 13:49:36)
6001,null,null,03/05/2006 00:00:00,null, 	(28-APR-2025 13:49:36)
6001,null,null,null,null, 	(28-APR-2025 13:49:36)
6001,null,null,03/05/2006 00:00:00,null, 	(28-APR-2025 13:49:36)
7001,null,null,22/04/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7001,null,null,22/04/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7001,null,null,22/04/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7001,null,null,22/04/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7006,null,null,27/06/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7006,null,null,27/06/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7006,null,null,27/06/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
7006,null,null,27/06/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
6011,null,null,14/03/2006 00:00:00,null, 	(28-APR-2025 13:49:36)
6011,null,null,14/03/2006 00:00:00,null, 	(28-APR-2025 13:49:36)
6011,null,null,14/03/2007 00:00:00,null, 	(28-APR-2025 13:49:36)
6011,null,null,14/03/2006 00:00:00,null, 	(28-APR-2025 13:49:36)
6013,null,null,24/04/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6013,null,null,24/04/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6013,null,null,24/04/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6013,null,null,24/04/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6013,null,null,24/04/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6009,null,null,06/02/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6009,null,null,06/02/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6009,null,null,06/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6009,null,null,06/02/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6009,null,null,06/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6008,null,null,16/01/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
