

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(01-MAR-2025 15:51:57)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
229,OTHERS (PORT TRUST), 	(01-MAR-2025 15:52:00)
001,DOMESTIC DIST., 	(01-MAR-2025 15:52:00)
2,INDUSTRIAL DIST., 	(01-MAR-2025 15:52:00)
4,OWN CONSUMPTION, 	(01-MAR-2025 15:52:00)
5,PARALLEL MARKETERS, 	(01-MAR-2025 15:52:00)
400,TEA PLANTATION, 	(01-MAR-2025 15:52:00)
402,RUBBER/COFFEE ETC, 	(01-MAR-2025 15:52:00)
403,FORESTRY&TIMBER, 	(01-MAR-2025 15:52:00)
404,AGRI.CROPS/ORCHARD, 	(01-MAR-2025 15:52:00)
408,SUGAR MILLS, 	(01-MAR-2025 15:52:00)
410,FLOUR MILLS ETC, 	(01-MAR-2025 15:52:00)
412,VEG. OIL MILLS, 	(01-MAR-2025 15:52:00)
414,FOOD PROCESSING, 	(01-MAR-2025 15:52:00)
416,DAIRIES&MILK PROC, 	(01-MAR-2025 15:52:00)
418,FISHERIES, 	(01-MAR-2025 15:52:00)
419,AGRI. MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
120,DOMESTIC AIRLINES, 	(01-MAR-2025 15:52:00)
131,FOREIGN AIRLINES, 	(01-MAR-2025 15:52:00)
700,DAIRIES&MILK PROC, 	(01-MAR-2025 15:52:00)
701,FERTILISER-GAS BASED, 	(01-MAR-2025 15:52:00)
702,CAUSTIC SODA ETC., 	(01-MAR-2025 15:52:00)
703,HEAVY ACIDS, 	(01-MAR-2025 15:52:00)
704,OTHER INORG.CHEM, 	(01-MAR-2025 15:52:00)
706,PETRO-CHEM OTHERS, 	(01-MAR-2025 15:52:00)
707,PETROCHEM -GAS BASED, 	(01-MAR-2025 15:52:00)
708,DYES & DYE STUFFS, 	(01-MAR-2025 15:52:00)
710,SYNTHETIC RUBBER, 	(01-MAR-2025 15:52:00)
711,PESTI./AGRO CHEM, 	(01-MAR-2025 15:52:00)
712,OTHER ORG.CHEMICAL, 	(01-MAR-2025 15:52:00)
713,DRUGS&PHARMACEUTICAL, 	(01-MAR-2025 15:52:00)
714,PAINTS ETC, 	(01-MAR-2025 15:52:00)
715,INDU EXPLOSIVE, 	(01-MAR-2025 15:52:00)
716,CALCINATION PLANTS, 	(01-MAR-2025 15:52:00)
717,SOAPS ETC, 	(01-MAR-2025 15:52:00)
719,MISC CHEM INDU, 	(01-MAR-2025 15:52:00)
720,CEMENT/BUILD MAT, 	(01-MAR-2025 15:52:00)
722,BITUMEN/BUILD.MAT, 	(01-MAR-2025 15:52:00)
729,CIVIL MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
810,City or Local Natural Gas Distribution, 	(01-MAR-2025 15:52:00)
811,LDC, 	(01-MAR-2025 15:52:00)

TOTAL DATA EXTRACTED :,97,  	(01-MAR-2025 15:52:00)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(01-MAR-2025 15:52:00)
 
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 15:52:00)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
RIL , 1 , C , C , 14/09/2008 00:00:00 ,  	(01-MAR-2025 15:52:00)
RIL , 1 , R , C , 14/09/2008 00:00:00 ,  	(01-MAR-2025 15:52:00)
RIL , 1 , B , C , 14/09/2008 00:00:00 ,  	(01-MAR-2025 15:52:00)
MGL , 2 , C , C , 16/07/2009 00:00:00 ,  	(01-MAR-2025 15:52:00)
MGL , 2 , R , C , 16/07/2009 00:00:00 ,  	(01-MAR-2025 15:52:00)
MGL , 2 , B , C , 16/07/2009 00:00:00 ,  	(01-MAR-2025 15:52:00)
GSPCL , 3 , C , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 15:52:00)
GSPCL , 3 , B , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 15:52:00)
GSPCL , 3 , R , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 15:52:00)
GSPCL , 3 , C , C , 24/03/2005 00:00:00 ,  	(01-MAR-2025 15:52:00)
GSPCL , 3 , R , C , 24/03/2005 00:00:00 ,  	(01-MAR-2025 15:52:00)
